Q7Y1C5	P94102
Q9LKL2	Q8L500
Q9LKL2	Q9C9W9
Q6LA42	Q9C9W9
Q9LVG4	Q9LKL2
Q9C9W9	Q9SQI2
O80536	P14713
Q9LKL2	Q8L5W8
Q9LVG4	Q9CAV6
Q9C9W9	Q9FHW7
P92973	O81275
Q9FN69	P27900
Q9FN69	Q8GV05
Q9FN69	Q9XGN1
O82804	P14713
Q94AH6	Q940X7
Q8L5Y6	Q94AH6
Q8LPR9	Q9FMD5
O04197	Q9FHW7
Q38906	O81283
Q570R7	P14713
Q9SLH3	O80536
Q84LH8	P14713
P14712	O80536
O82798	Q9ZNV9
P14712	A8MR65
Q94AH6	Q9FHW7
Q8LEA8	Q9FHW7
P43254	Q9FE22
P14712	O64903
Q8GZM7	P14712
Q8GZM7	P14713
P14713	Q8W2F3
P14713	P14714
P14713	P42498
P43254	P14712
Q9SYX2	P43254
P43254	Q9SPL2
Q9LIE5	Q9SWG3
Q43125	P43254
P14713	P43254
Q8W575	Q9FVU9
Q8W575	P45432
Q9FVU9	P45432
Q9ZVT7	Q9SP08
Q38825	Q570C0
O24646	P43254
Q8H1D4	P84634
P54609	Q94AG2
Q9LDI3	Q7FRS8
P93002	Q39163
P93002	Q39234
Q940H6	P49597
P49598	Q38898
P46014	Q94AG2
Q67Y93	P24100
Q67Y93	P42753
O81223	Q9LDI3
Q9ZVN9	Q8W4M7
Q8L5U0	Q8W575
Q8L5U0	Q9FVU9
P49333	Q05609
Q5D869	Q9ZVD5
Q39011	Q8S307
Q9LZM8	P46639
Q9LZM8	Q38874
Q9SR06	Q0WPF2
Q39057	P43254
Q8LAS7	O22932
Q9SID1	P43254
Q8W191	O24646
Q9LKF9	A9LNK9
Q9LKF9	Q9FGR0
Q9LKF9	Q9C952
Q9LKF9	Q8GUU3
Q9FGR0	A9LNK9
Q9SYQ8	P46014
Q9LYC1	Q9SLH3
O24409	P93024
O24409	P93022
P93024	P93022
Q9M0V3	Q9LJD7
Q940X7	Q8LGH4
Q9M0V3	Q8LGH4
Q9LJD7	P48732
F4I0P8	Q9STT2
Q42538	Q43725
Q9XF67	Q9LSF1
Q944A6	Q84VQ1
Q9LKF9	Q6NLV4
Q9M0V3	P48732
Q9M8Y4	Q8L9T7
Q9SID1	O24646
P42731	Q39096
P42731	O64843
P42731	Q9C8M0
Q9FJK3	Q4PSU4
Q8L7E5	Q9C500
Q9S7P9	Q9ZSD4
Q8LGD5	Q8S8P5
Q8L9T7	Q940D0
Q9ZWS7	Q9ZNV9
Q940D0	Q9ZNV9
Q9ZWJ9	Q9ZNV9
O04197	Q9LMA8
O04197	Q9LVI4
O04197	Q8W4J8
Q9LMA8	Q39204
Q8W4J8	Q39204
Q94JU3	P45432
Q94JU3	P43255
Q9LFD5	Q9LIC6
O04292	Q9SAD4
P24100	O23249
P24100	Q9SIV2
P24100	P42752
P24100	Q29Q81
P24100	Q9SAD3
P24100	Q8GYJ3
P42753	P24100
Q94BM7	P43254
Q42484	Q8GYN5
O22476	Q94AG2
P43254	O82804
Q9SWW6	Q84JA6
Q39016	Q39083
Q94AH6	O04197
Q8S2T0	P40940
P35632	P48007
O80931	O04479
Q8LBP4	Q38885
Q8VYA5	Q8L3X8
Q8W5S1	Q9LMT0
Q9FVU9	P43255
Q9SHE7	Q94AH6
Q9SE33	Q9SUT5
Q38897	Q38874
P43254	Q96524
Q9SJN0	Q01593
Q5S2C3	Q5S2C4
Q9FUY2	Q8W234
P24100	Q9LJ45
Q01593	Q8RXD3
Q07098	Q8LDQ4
P45432	P43255
O49160	P43255
O49160	P45432
P17839	P35632
P17839	P48007
O48963	Q9FMF5
Q9SEE9	Q42404
Q9SEU4	Q9SEE9
Q39090	Q9FHW7
P24100	Q9SCR2
P24100	Q9LRY0
P49333	Q9ZNV9
Q9LT47	O65312
Q9FDX9	P49177
Q8LAS7	O22971
Q8LAS7	Q9LZW4
P93835	Q9SFD5
P93835	Q9ATB4
P35631	O64645
P35631	Q9FVC1
P35631	O82794
Q9LUA3	P93002
Q9FNZ4	P93002
Q93V47	P49177
Q9S745	Q9SU72
Q42564	Q9SAR5
Q9FNY3	Q9FNY0
Q9FNY2	Q9FNY0
Q570C0	Q9FHW7
O48661	Q94BN2
Q8W575	P43255
Q8L5U0	P45432
Q8L5U0	P43255
Q8L5U0	Q94JU3
Q94JU3	Q8W206
Q94JU3	Q8W575
Q9FHW7	Q9LEX0
Q9FHW7	Q8L736
Q9FHW7	O49279
Q9FHW7	Q9LND7
Q9FHW7	Q9ZPE4
Q9FHW7	Q9M0U9
Q9FHW7	Q6NPT8
Q9FHW7	Q9ZUB8
Q9FHW7	Q9FHK0
O81058	Q9ZPE4
Q9FN69	O22059
Q9FN69	Q9CAD0
Q9CAD0	O22059
Q9LT47	O22467
Q8H1U5	Q9M9L0
Q8H1U5	Q9STS3
Q8H1U5	Q9ZPW2
Q38822	Q570C0
Q9FN69	Q9SEI0
Q9CAD0	Q9SEI0
F4JUL9	Q8LGI3
Q9FHW7	Q9STX3
Q94AH6	Q9STX3
Q9FJA2	Q9FT81
Q9FT81	Q9XGN1
Q9CAD0	Q9ZTC3
Q8W2F1	P27900
Q8W2F1	Q9SEI0
Q9ZTC3	Q9FN69
Q9LX33	Q38920
Q9ZVH4	Q940X7
Q94AH6	Q9LQ95
