Q22875	P22981
P46769	P49197
P90740	P55853
Q9XVV3	O02482
O17583	P54936
Q17958	H2L099
O17586	Q09583
P46822	P34540
P46822	P34609
O17607	Q9GZH2
O76828	Q17905
P52478	P34537
B6VQ60	Q21209
Q03598	P91430
O17670	Q94166
O17670	O17894
O17670	Q10666
O44156	Q09583
Q27488	Q94392
Q09528	O45666
G5EFV8	O01839
Q19266	Q9NAN2
G5EG38	G4RT11
Q19503	Q9N5D6
Q9TXH9	P54812
O17071	O76371
Q19766	P34453
O16299	P55853
Q20052	P34514
O45495	Q95XX0
P39745	Q10664
Q20471	O18017
Q20471	O02115
Q93794	G5ECU1
O44739	P09446
O44740	P34808
O45666	Q9GTD4
O45666	O18141
O45666	Q9N4Q7
P14585	Q93794
Q21952	Q17635
P34808	Q94420
O44199	Q23255
P34563	Q9XXJ0
Q95QA6	P45970
Q95QA6	G5ECG0
Q22618	G5EDW1
G5EFA2	O45952
O02115	G5EC44
G5EFZ3	Q10661
Q9XW13	O61955
Q95Q27	G5EC44
Q95XX0	P52478
Q9XWH0	Q21776
Q9GS00	O01422
Q86S66	Q18885
Q9XW79	Q9N4E9
Q95017	P55853
Q10953	Q9U9Y8
Q10666	Q18825
Q10666	Q10953
P90947	O44326
Q9U2Q9	O62090
Q9U2Q9	Q3LRZ3
O44326	Q967F4
O61667	P41958
P39055	Q8I4E2
O17514	Q9GYS1
Q9XTF3	Q20402
Q93646	Q9Y048
Q9XUN9	Q09665
P34815	O16000
Q19537	Q19546
Q19584	P54812
P17221	P49594
P17221	P34691
Q17390	P21541
Q17391	Q94420
P91001	Q9GS00
O01422	Q9N425
O01422	Q9N359
O01422	Q95PZ0
Q94420	Q23064
O62479	Q20010
Q9U2Q9	Q9NAG4
G5EFV3	P91349
G5ECG0	G5ECY0
G5ECG0	G5EEM5
Q9N359	Q95PZ0
Q9N4A7	P34643
O02217	G5EFV3
P91870	P91349
G5ECU1	Q18223
P55853	Q94361
P34691	P49594
Q9U3F4	Q8STF6
Q18235	G5ED39
G5ECG2	G5ECU7
Q94126	Q8IG69
P30429	P42573
P30429	P41958
Q9NHC3	Q8STE5
P41958	P42573
A0A1C3NSL9	G5ECY0
P34288	H2KYP0
P28548	P18334
P39055	P34258
P53806	Q0G819
P20271	G5EC36
Q22782	O17583
O17670	Q94165
Q9U389	Q09490
Q10661	P46582
Q09389	Q95005
Q9N4U5	G5EEG7
Q9N5D6	P41779
O45666	Q09565
O18214	Q10666
Q27365	Q09377
O02482	P90971
O17286	O17072
Q23294	O45666
Q21955	O45666
O02219	O44712
Q21955	O44960
X5M5N0	G5EEN4
P34707	P90794
Q9TYT3	Q21307
Q95ZK7	Q9N5M6
Q95ZK7	O17087
Q95XP9	Q20849
Q19642	Q20849
Q17695	Q95XP9
P34278	P48727
P34661	Q94218
Q9NAN2	Q05062
Q9NAN2	Q17353
Q9TXI7	Q22592
Q09969	P41958
Q09969	P42573
O02482	P29506
P34529	O44406
P91349	O02217
Q93212	P34299
Q9GSX9	Q9N2V6
Q23064	Q20745
P13528	P09088
P50464	Q18685
Q19289	O02365
Q19266	Q17353
G5EGE9	Q20060
P34706	G5EBL3
G5EGE9	P48996
G5EGE9	Q9U2M1
G5EGE9	Q09591
Q09591	Q20060
G5EFJ4	Q20060
Q9U2M1	Q20060
O16850	Q20655
B1Q236	Q9U3P2
P34341	Q20060
P48996	Q09591
P91001	P34689
Q9N3T2	Q95NM6
G5EC37	G5EBV6
P24612	Q27433
Q9XUB2	Q9N2L7
Q21443	Q20924
Q9N587	P48181
G5EC37	Q09490
O16785	Q18685
P48996	Q9U2M1
Q93454	Q17551
P34529	Q9U489
P24612	O01811
P34886	P24612
Q21443	O01971
Q18223	Q17551
P90916	G5EBZ4
Q9U3D6	Q22618
G5ECY0	Q20748
Q23424	P41958
P90900	Q19289
Q9TW65	Q9Y048
Q9XTC6	G5EEM6
O01761	Q8T3G2
Q95QJ7	P45970
Q9N3S2	Q6BET5
Q9N2W5	P54812
Q27488	O76371
Q95005	P41829
Q95005	Q95QQ2
Q95005	Q27488
Q95005	O17071
O44156	Q27488
O44156	P34604
O44156	Q17693
O44156	O17586
Q10658	O45379
Q9N359	Q94261
Q94420	P55853
P34286	Q17693
Q95008	Q95005
P39745	Q17695
Q9U757	Q9XVS8
P03949	Q18953
O45666	Q09587
Q967F4	Q9U308
G5EC32	P19826
Q10653	P34556
Q17389	G5ECU1
Q21921	Q20655
Q03571	Q9N5M6
P34691	P34709
Q18685	Q9TZC4
Q9XWP6	Q18919
Q9N2V6	Q95QJ7
Q23064	P46822
P14585	Q09260
Q9XTF3	O01767
Q17339	Q95YF3
O44408	P34689
Q8MYP1	C6KRL6
O02219	G5EGD2
