P36659	P0A6Y8
P0A6B7	P32177
P32177	P0A6B7
P30126	P0A6A6
P31663	P65556
P0A805	P0AD49
P0ABD5	P0A9Q5
P22939	P33221
P06710	P28632
P0AFX4	P00579
P17410	P00579
P77396	P00579
P00961	P00960
P00960	P00961
P06612	P02925
P15042	P02925
P39336	P02925
P0ABS8	P03007
P76256	P05852
P02925	P06612
P28632	P06710
P0ACJ8	P06993
P08312	P07395
P32715	P07395
P07395	P08312
P19317	P09152
P17410	P0A7C2
P0AD49	P0A805
P0AA37	P0A8P1
P16433	P0A9F1
P0DM85	P0A9F3
P64455	P0A9N4
P0A8P1	P0AA37
P24192	P0AAM7
P64534	P0AAX8
P0ABB4	P0ABB0
P0ABB0	P0ABB4
P0A9Q5	P0ABD5
P03007	P0ABS8
P19930	P0ACD8
P06993	P0ACJ8
P0ACN7	P0ACJ8
P0ACJ8	P0ACN7
P77425	P0ACR0
P33602	P0AFD1
P00579	P0AFX4
P0AGB6	P0AFX7
P0AFX7	P0AGB6
P10121	P0AGD7
P0AGD7	P10121
P02925	P15042
P0A9F1	P16433
P30750	P16433
P0A9F3	P0DM85
P23869	P16918
P00579	P17410
P0A7C2	P17410
P09152	P19317
P76551	P19636
P0ACD8	P19930
P33221	P22939
P77609	P22939
P16918	P23869
P0AAM7	P24192
P28905	P28632
P28632	P28905
P0A6A6	P30126
P16433	P30750
P65556	P31663
P75957	P31802
P0AG30	P32157
P07395	P32715
P0AFD1	P33602
P0A6Y8	P36659
P75863	P38038
P02925	P39336
P0A9N4	P64455
P0AAX8	P64534
P77174	P75824
P38038	P75863
P75960	P75869
P31802	P75957
P75869	P75960
P05852	P76256
Q46896	P76339
P19636	P76551
P75824	P77174
P00579	P77396
P0ACR0	P77425
P22939	P77609
P76339	Q46896
P32157	P0AG30
P0ABQ4	P77609
P14900	P14900
P17952	P77609
P08337	P0AC47
P06134	P69931
P77802	P76594
P23893	P0ACL5
P45579	P0AFT8
P0AEF4	P76079
P23862	P0ACJ8
P0AFW4	P77174
P75767	P0AEW6
P12996	Q47147
P28630	P17117
P61949	P33596
P0AFY8	P0A8F8
P69222	Q46864
P0ACA7	P06987
P0AAY6	Q46953
P00509	P00509
Q46864	P0A7L8
P06987	P06987
P00350	P00350
P76215	P0ACS9
P76407	P0ABH7
P18196	P39409
P0AGB6	Q46864
P77650	P0A6Z6
P77732	P23862
P0ACZ4	P45577
P0ACZ4	P0AFB8
P76502	Q2EES9
P00936	P15038
P07639	P68646
P33650	P33650
P0ACJ8	P0A8E5
P0ACJ8	P0AFG0
P0ACQ0	Q46864
P0AG30	P0AES0
P0AFB5	P09153
P0AE82	P76086
P0ACA3	P54745
P0ACG8	P06993
P11989	P06710
P0A8P6	P0A9E0
P0AAU7	Q46864
P16685	P04983
P64503	P0A8G9
P64503	P76268
P64503	P0A6R3
P64503	P0ACP7
P0AFT5	P0A823
P0ACN4	P31552
Q46864	P07000
P76373	P0A8F8
P45543	P0AG07
P0DTT0	P75864
P0AG90	P07395
P77806	P68646
P0AEF4	P39409
P0ACN4	P0ACN4
P0AFW4	P0ACJ0
P09147	P39409
P22106	P22106
P0A862	P0A8E1
P45543	P05704
P63284	P33014
P45579	P45579
P0ABI8	P77806
P0ACU0	P0ACU0
P0ACA7	P0ACA7
P0AC92	P0AC92
P36979	P0A9A6
P0AEJ8	P18196
P37773	P37773
P0A9U1	P60566
P0A6F1	P0AD21
P0A805	P0A8E1
P0ABH9	P68646
P04951	P0ACU2
P76237	P32715
P31574	P0AES0
P0A8D3	P77390
P77609	P76555
P20605	P06710
P41443	P76086
