Q46896 P18196
P0AFT8 P0DTT0
P0ACL5 P05852
P07639 P0ABB4
P0A9F1 P76339
P0DTT0 P0A9F1
P0AFG0 P0ABI8
P23869 P0A823
P0AG30 P76594
P69222 P14900
P00579 Q47147
P18196 P77802
P05852 P0ABH7
P76339 P38038
P0A6R3 P33014
P0ABB4 P0A8F8
P30750 P76502
P76268 P0A9N4
P36659 P63284
P19930 P09152
P0ACR0 Q2EES9
P33014 P0ACG8
P0ACA7 P00509
P0AFX7 P45579
P00936 P0A9E0
P0A8E1 P0A7C2
P00936 P33650
P0A8D3 P00936
P0A9A6 P76086
P0AC92 P16433
P0AFB5 P0A9Q5
P75960 P10121
P0A9U1 P0A6A6
P09152 P39409
P0A8E1 P0AAU7
P0A8F8 P07395
P17410 P77806
P0A6A6 P00350
P76086 P0AG30
P0AG07 P0ABD5
P45579 P0AD49
P30126 P76594
P30126 P45543
P19317 P31574
P0ABB0 P06710
P15038 P0A805
P0AEF4 P16685
P0AGB6 P0AG07
P37773 P0ACA3
P76256 P17952
P45577 P76407
P00579 P33014
P0A8F8 P31552
P06710 P0AFD1
P23862 P16918
P60566 P08312
P65556 P0ACS9
P45579 P0AD21
P19930 P69931
P31663 P0ABD5
P77174 P0A8F8
P0ACJ8 P0ACR0
P77732 P32715
P33650 P61949
P32177 P17410
P03007 P0A8F8
P64503 Q46896
P0A8P1 P45543
P06134 P22106
P15038 P19930
P64503 Q46864
P0A8P6 P77174
P76373 P77425
P22939 P08312
P77425 P0A7C2
P32157 P06987
P02925 P0AAM7
P45577 P0AD21
P18196 P41443
P0AA37 P0ABH9
P31802 P0AFD1
P09152 P75767
P77390 P36979
P0ACJ0 P0A6R3
P0ACR0 P0A8F8
P23869 P32157
P76237 P64455
P76215 P0ACU0
P0ABB4 P63284
P32157 P02925
P0A6A6 P0ACJ0
P0AEJ8 P0AFX4
P0A6R3 P0ACD8
P75767 P77425
Q46953 P0A6B7
P39409 P0A8E1
P0ABB0 P0A9N4
P0ACJ8 P0AG90
P64503 P0ACG8
P0AG07 P0A9U1
P60566 P07000
P06993 P77390
P0AFT5 P33014
P0ABS8 P63284
P0AFD1 P69931
P39336 P0AAM7
P05704 P0A7C2
P0A6F1 P0ABB4
P76237 P10121
P09152 P28630
P0A8D3 P0A9N4
P76215 Q2EES9
P0ACD8 P23869
P0ACL5 P09147
P33014 P76551
P32177 P33650
P31663 P39409
P0A9U1 P20605
P0AFW4 P33602
P06987 P45577
P0A8P6 P0ACR0
P09147 P05704
P64534 P0A6A6
P0AAM7 P38038
P0AEW6 P09147
P76237 P0ACL5
P76407 P0AD49
P0ABI8 P16685
P0A9A6 P60566
Q46864 P24192
P0AFX7 P0A6R3
P00350 P0ACJ0
P05704 P37773
P0ACZ4 P75767
P31802 P0AC92
P0ACD8 P0AFB5
P0A805 P37773
P0AFB8 P0AEF4
P33596 P33596
P0AFB5 P19317
P0ACA3 P02925
P16918 P00579
P0A8P6 P0AAY6
P09152 Q46864
P0AD21 P20605
P0ACD8 P77806
P76502 P76215
P17410 P00509
P0AAM7 P32177
P0ACD8 P39409
P0ACL5 P02925
P75824 P0A6A6
P09147 P0A7L8
P23869 P31552
P75864 P0ACS9
P69222 P06993
P11989 P0AGB6
P08337 P0A8P6
P30126 P0DM85
P0AFB5 Q46896
P77806 P77732
P0ACJ8 P77174
P12996 P0DTT0
P24192 P77174
P11989 P76256
P0ACP7 P15042
P33014 P0ACL5
P08312 P64455
P31552 P0A8G9
Q2EES9 P77396
P77174 P0AAM7
P0AAX8 P0ACQ0
P0AEW6 P0A8P6
P77650 P77425
P76407 P0A6Y8
P75864 P0ACL5
P77806 P77806
P23869 P75864
