Q9VH07 P49905
Q9VK45 Q02308
O62619 Q24322
Q9VTE9 Q9VMA3
Q9VAP2 Q9Y0H4
P10676 O77051
Q24297 P52656
Q9VCR6 P21461
P26675 Q9V535
Q9VJE5 Q709R6
Q03017 Q05913
Q9VY77 P29742
Q24152 Q9XYU1
Q08473 P40423
Q27368 Q24509
P26675 A0A0B4K7J2
Q9VEZ5 Q9VQ89
P84040 Q9VVI2
Q9VFG8 O16844
Q9VJD2 O61735
Q9VK33 Q9W0T1
Q9V3G7 P48601
P46150 Q95TJ9
P55162 Q24475
Q05344 Q9VUX2
Q9V460 Q24040
P02516 Q24323
P23128 Q24307
P07207 Q9VGP6
P18537 Q9VYG2
Q9W0P3 Q9VQG2
Q03427 A0A0B4K7J2
O46036 P07668
P20227 Q9W0M7
P82804 P08645
Q9V3B4 P16371
P24785 O15943
Q9VYX1 Q24152
P54733 O18334
Q9VUV9 Q24087
Q9V3Z1 Q9GNK5
Q01068 P23654
P25159 Q961D9
Q9VYQ8 P55828
P19334 P10627
P16568 Q9VCE6
P26017 Q7JXF5
Q8IRG6 Q23978
P84040 Q9VLJ8
P41900 Q9VC61
Q24292 P49021
P09089 Q9V535
Q24509 Q9VTE9
O96863 Q9VCR6
Q9W4M8 P42003
Q02637 Q9VWN4
M9PBE2 Q9VVX3
Q03043 Q9I7I0
Q7KNS3 A1ZA47
O76924 O77051
Q24169 P25843
M9NDE3 Q24087
P48555 Q9VCU7
Q24564 P46824
Q7K4B4 Q9VIF5
Q9V6U8 P12370
Q9N2M8 Q9V439
Q9V5M6 Q8MSU4
Q9VC27 P10627
Q9V3G7 P38040
P26017 Q8IN94
P08985 P92177
P08928 P35220
Q9VUV9 Q9Y091
P23654 P40797
P52486 P07207
Q7KNS3 Q9V3B4
Q9VMA3 P51140
Q9VEZ5 Q9V3Z6
Q24141 Q07436
Q9V464 P91682
Q01069 P30052
Q94899 Q9VTE0
P35554 Q9XTN2
Q24311 Q24472
P31007 Q9VQ89
Q24152 Q9VYV3
Q9VSK8 P48603
Q24246 P04388
Q9VCU7 Q9W4X9
Q9W0P8 Q24562
P15330 Q27934
O61735 Q24509
P21187 P23573
Q9VW56 Q05913
P35875 P08111
Q7KRY7 Q95RA8
Q7KRY7 Q9VKM1
P21525 Q95TJ9
Q27324 A1Z9G2
Q9VM60 Q7JXF5
Q9VNB5 P34082
Q9VYQ8 Q9U1H9
Q9VIF5 O02193
Q7JW27 P06603
Q9VKD6 Q9V6L9
P18537 P52654
Q9VVX0 P08181
Q9V3D6 Q9W1X4
P28159 P49905
Q9W4M8 P08953
Q9W0S8 Q9VQQ9
O46339 Q9VCR6
Q7K5N4 O46036
P19018 P20227
P20240 Q24306
Q9VQG2 Q9W2E7
P12370 P20227
Q9V464 P16371
P35820 Q8T3Y0
Q9V9Y9 Q86S05
P35820 P48555
Q94545 Q9VUW9
A1ZAY1 Q95RJ9
Q7JUX9 Q8IRW8
P05661 P48555
Q9W4X9 O61735
P04412 P49906
Q7K2X8 B5A5T4
P08970 Q95RR8
Q8MSX2 Q94535
Q9U1H0 P41900
Q709R6 P30052
P24785 Q86BE9
Q94887 Q24167
Q9W596 Q24547
Q9VGP6 Q03017
Q9VTF9 Q9VF87
Q24297 Q24475
P05661 Q01070
Q9VT57 Q9Y0H4
P28466 P21525
P23226 Q7JUX9
Q24562 Q9VSR3
Q9W0T1 Q32KD2
Q9VQG2 Q7KQM6
Q9W4S7 Q7K738
P38040 Q23985
Q9VGS2 P12370
Q9XZH6 P13368
Q8IPH9 P42282
P19109 O02194
Q709R6 Q9W1X4
P09774 P10084
P34082 Q9W0P3
Q9VW15 P50534
Q9U5W9 P10083
P10083 P17210
P07713 A1Z9E2
Q9VUX2 Q9V4A7
A0A0B4K7J2 Q24169
Q7KRY7 Q9V968
Q26263 Q24318
P51123 P19538
Q8T0S6 Q9VYQ8
Q9VZZ9 Q8T3Y0
Q03720 Q9V9Y9
Q9VLN1 O46339
Q9VS48 Q9VCY3
Q9VYV3 Q960X4
P40791 P33244
P08645 P23128
P14003 Q24141
Q9VTL1 P18489
O46339 Q9VYG2
P23257 P42207
O61307 O15945
P18537 Q9VFX1
P09956 Q9VTE0
P55162 O15945
P36975 P51123
P61209 Q24117
P23696 Q9VSH4
P54359 Q9V727
Q9NDJ2 Q9VCZ8
P13496 O16810
P10084 Q9VQG2
P13709 P13098
Q9VR35 A1Z6W3
Q9VVR6 Q9VLU0
Q9VPQ2 A1Z9E2
Q01068 P41900
Q08605 Q9XZ58
Q9W157 Q9V3J8
P27619 Q9NDJ2
Q9VF87 Q9VTL1
P26308 P07713
Q9VQ91 Q9VI10
O61443 P50534
Q9VW15 O46339
Q9VPQ2 Q9NHV9
P16371 Q9VQY9
Q9NFU0 O76924
P33450 Q9VK45
P19339 Q9V4Z9
Q9VMA3 P36975
Q9V5M6 Q01068
Q24318 O61307
P16621 P29503
P05709 Q9VIF5
Q24307 Q9V6X7
M9PBE2 Q9V6U8
O96863 P02572
Q9V3D6 Q24509
Q9VVX0 P16371
O61443 Q9VHI4
Q7PLK0 P20353
P51123 Q01989
Q9VQY9 Q9VTF9
Q9VFJ3 P33450
