Q8TAI7	Q9HC62
Q13263	Q969P5
P33151	Q86UR5
Q9NQR1	P26045
Q8NDC0	Q13651
Q9H213	Q9Y6Y9
Q9ULL4	Q9BSJ2
P48380	Q9Y4A8
Q9UM07	P31930
P30281	P47224
Q15058	P05413
Q99728	Q9NPA8
Q9Y5P4	P63272
Q49A92	P30039
P78545	Q6ZW31
Q92581	P37235
Q14232	Q9BUN8
Q9NYB0	Q96E14
Q9BT49	Q14258
Q9NWT1	P17482
Q9BRT3	P29353
P52294	Q9HAQ2
P35520	P17036
Q96GA3	P35240
Q9BZR9	Q13224
Q86UL8	Q6R327
P05230	Q9P2S5
Q9BQF6	O43493
Q96HQ2	Q38SD2
Q9NQZ8	Q96PE7
Q96IK5	Q9BT92
Q15084	P43115
Q9UH62	Q8N539
Q13061	O95279
Q17RD7	Q9UKK3
Q2M1P5	Q86VW0
Q9H410	P25800
P36575	P49916
Q96AA8	P29590
P02008	Q8NFC6
Q6ZTQ3	P32970
P28702	Q96FH0
Q9P2D1	P61221
Q9NS37	Q9NTG7
Q14142	P20248
Q9NY93	Q9H190
P52333	O60563
Q8NHY2	Q86UK7
Q8TEB1	Q96P20
P42702	Q9Y4F9
Q08499	Q8WVR3
Q13480	P39748
P10912	Q9NRJ3
Q9H2X0	Q9NVM4
Q32MZ4	O00233
Q9BT92	Q8IYI8
P78352	Q99967
P49840	Q9P0J7
O94761	Q5T9L3
Q5U5X0	O94972
Q9NY99	Q9H3M7
O15371	O60313
O95159	Q8N7C3
Q9UPT9	Q96HE7
P18054	Q8IXM3
Q8N2H9	Q9C0K7
Q96JM3	Q5XUX0
Q6ZSG1	Q6PI47
Q6ZSY5	O75146
Q05655	P55735
Q86UD4	Q16763
P45880	Q8TCD6
Q9BPU6	Q14397
Q9ULV8	Q96HP0
Q9H3R5	Q86WT6
Q9BRJ6	Q6GPH6
Q9UDY2	Q92692
P40616	Q96B36
Q9NQC8	Q96I34
Q9Y6C9	Q9BQA1
Q9BXJ1	P21246
P52948	O15049
Q13087	Q8N2Q7
Q86XI2	Q6ZTQ3
Q15848	Q96EK5
Q9H5N1	P09110
Q8N1F8	Q6L8Q7
O95967	Q9NXW9
Q9Y5Z4	P21506
Q96K21	Q9P032
Q8N1F8	P11177
Q9BZL3	Q96MN2
Q5XUX1	P15918
P45974	Q9Y6K9
P17987	Q7L2J0
Q9Y6R4	Q9BV73
Q10570	O43639
O43583	Q9NZC3
Q06787	Q86W11
P10589	Q96QU8
Q8N4B1	Q92541
Q0ZGT2	P52948
Q96IZ0	Q14691
Q702N8	P55291
Q13190	Q4LE39
Q9Y490	P20585
P43686	Q13515
Q9UGL9	Q8NEC5
O95685	Q8TAX0
Q9H845	Q5XUX0
Q9C0J8	Q9H201
P01130	P46379
Q92598	Q8WUU8
O43924	Q9Y228
O43592	Q9BRK5
P14649	Q9UK96
Q8IYH5	Q5VWN6
Q96IZ5	Q86SE5
Q9P2I0	Q9Y2L1
Q14653	P82094
Q58A45	Q7L2E3
Q9BXY0	P49756
P14784	Q14687
P62195	P53367
P05113	Q9H1K0
P25208	Q969L2
Q96CN9	Q8TAM2
Q8N5P1	P82094
P50222	Q7L1W4
Q99549	O43572
Q96M63	Q8N108
P11441	Q96CU9
Q15773	Q96JZ2
O60306	Q9NUL5
Q8NB12	Q7Z417
Q6GQQ9	Q8WXU2
Q9NXX6	Q6ZUT1
O14964	P35247
Q8NEZ5	Q13042
O15519	Q15054
P23511	O00443
Q9P2W3	P54274
Q9NRP7	Q9ULA0
Q9HAN9	Q96I51
Q9Y651	Q00610
Q96JP2	Q9BRT2
P08151	Q9BTV4
O95352	Q86UC2
P09211	Q96DF8
Q96QE3	Q9H944
Q14160	Q8IW45
Q9UBW8	O43542
Q6NSI4	Q9Y6J9
Q96R06	P82930
Q6ZMV9	Q8NBL1
Q92613	P01137
Q9Y316	Q8NBR6
P23229	O95347
P52565	Q14159
Q9Y6Y8	Q71SY5
Q04759	Q16633
Q9C026	O60927
P09529	Q02548
O14796	Q8NHQ8
Q14139	Q7Z6E9
Q75N03	Q9UIL1
Q8IWY8	Q5VSY0
Q9NZ71	Q9HAT0
Q6P5X5	Q96LM6
Q7LBR1	Q9BXV9
O60229	Q13546
Q96MN5	Q9BQG0
Q8N6G5	Q00987
O15062	Q8WVT3
P21246	Q96AG3
O95139	Q9H4L7
P46531	Q9Y385
Q9UHV2	P40937
Q8IWB1	Q8WVT3
Q16698	Q9BTK6
Q13526	Q96BA8
Q96JN8	O15156
Q08999	Q7Z569
P51688	Q96JK2
O14579	O43493
Q96JH7	P26715
P07197	O75069
P61024	Q8WVV9
Q9Y5W3	P51168
Q96L50	Q9Y4X5
P19544	Q8N9I9
Q5XUX0	O95872
Q9BZM1	P15880
P08779	Q9UHK0
P08235	Q96DR5
Q15569	O75665
P35998	A5YKK6
Q08AM6	Q96GQ7
Q9Y5Q9	O43303
Q9BZE1	Q9H0D6
P05388	P10912
Q5S007	Q5VWN6
Q9H8W3	P00558
Q8NA54	P10124
P27449	Q9H270
Q8N3J5	Q8WUU8
O43920	O43633
P15313	Q9ULM2
Q6UB99	Q15257
O95271	P51532
Q86XR7	Q9ULV8
Q8IYB8	Q9Y2T2
Q10570	Q9H0U9
Q86W50	P02792
Q9NS37	Q6R327
Q96DH6	O94868
O15481	O60925
Q8IVW4	Q8TF40
Q8WV28	P01241
Q695T7	Q8TDY4
Q49AJ0	Q9NV06
Q9Y6K1	Q9UHD8
Q9BXK1	Q9BQ70
Q9NRA8	Q02080
Q68EM7	Q8N5F7
P43268	O43353
Q15672	Q8N9N5
Q9NYF8	O14933
P56962	Q8NFF5
P48788	Q9BV40
Q9Y296	Q9NR81
Q13601	Q96FI4
P00441	Q9GZM5
P25445	Q96Q05
P43351	Q9UI36
Q63HK5	P49418
P01374	P0C0S5
P78345	Q14134
Q9NXJ0	Q9Y2T1
Q96RT7	Q8N9I9
Q9UPN4	Q9BXH1
Q9UK53	Q9Y5T5
Q8N5Z5	Q6IPU0
Q15678	P48039
Q08999	Q8TC92
O43181	Q9BVC4
Q9NWT1	O00303
P02511	P49757
Q8IVS8	P38117
Q68CZ1	P26371
O75955	Q14241
O94864	P0DPB6
Q99496	Q9NRD0
Q7Z460	Q9HAN9
Q9P0V3	Q9NZD2
Q9H082	P09210
Q8N6Y0	P62258
O00471	Q13428
Q8WXI9	O15245
P11234	Q9Y4Z2
P22466	P45973
Q9NS64	O75197
P42677	Q8TF42
P08779	O95243
Q9BXS5	Q15256
Q9NR22	Q96KG9
Q12948	Q99798
Q9BWF2	P17480
Q9H3D4	Q8WUU5
Q9Y5K5	Q53F19
P0DI82	Q9Y4R8
Q8WYA0	Q15170
Q9NZ43	Q15643
Q9NRU3	Q5TGY3
Q96DZ9	Q9Y2H0
O75414	Q9BYS1
Q6UXN9	Q13227
Q8IYX8	Q7Z417
Q8NEM7	Q9Y5K6
Q9BYG4	Q92750
P09629	Q9BTL4
Q9H074	Q9Y6Y9
Q9Y3Y4	Q9Y508
O95848	P09496
O75170	O94776
O76075	P09172
O15550	O94855
P06400	Q15013
O95684	Q9H2G4
Q49A88	O75607
Q96L91	Q8TBP5
O95295	Q14790
Q9NQY0	Q09161
O95631	Q9BT67
Q7Z6L1	Q9H040
Q07864	O75953
P08865	Q9Y266
Q9HAV4	O60826
P61513	O95279
Q70Z35	Q8N3P4
P35269	Q6IAA8
P31629	P12694
Q9BVC4	Q08499
Q9UJX0	Q99547
Q92785	Q9UPQ8
Q7Z2Z1	Q9UPY5
Q8NFD5	Q96PE2
P42081	P47974
P57088	O15198
Q8NCX0	O14713
Q96IY1	O75376
P04629	P13489
Q96FN4	Q9NRJ3
O75177	P49917
Q9H8T0	Q5T0L3
O75528	Q68E01
Q9GZR2	Q13564
Q15696	Q96G23
P19883	Q9UKF6
Q9NZD2	O43524
P56962	P01903
Q6R327	Q9Y6F1
O14617	Q92597
Q96LA8	Q9GZT8
O60678	Q96IZ5
Q9GZV5	P49796
O00422	Q86VQ0
Q9HCM4	P49411
Q8WV28	Q9NV96
P12830	P15559
Q96KR7	Q12809
O15018	Q8TCJ0
Q5TGY3	O75553
Q9NUI1	Q9NRS6
Q93096	A6NGB9
P33681	Q9BSW7
O75787	Q4LE39
Q06587	O95256
Q96TC7	P49959
