P84077	Q9NZ52
P05067	Q92624
Q99967	P05549
P07333	P62993
P38398	Q99728
Q14643	P35219
Q96QZ7	P35222
P33992	P49736
Q13416	P49736
P27694	P49736
O43913	P49736
P25205	P49736
Q00610	O14964
P30281	Q9UBQ5
Q14190	P27540
P81133	P27540
P12004	P24522
Q09472	P18146
Q86UP2	P29692
Q86YN6	P03372
P51532	P03372
Q8TDD1	P03372
P18507	O95166
Q8IZH2	P46379
P42858	Q9BYW2
P54257	P42858
P42858	Q8IUH5
Q9NX55	P42858
P15923	Q02535
P08069	P35568
P62258	P08069
P06213	P35568
O60674	O15524
P02545	P20700
P02545	P36956
Q12982	P10415
Q13625	P10415
Q9NQC3	P10415
P10415	Q14457
P09917	Q14019
P13010	P12956
Q6VMQ6	Q9UIS9
Q13111	Q9UIS9
O75030	Q9Y6X2
O75030	P63279
P33993	P06400
P33993	Q9UBD5
Q03164	Q9UNP9
P20929	Q86TC9
Q9Y6H5	P37840
P41279	P19838
Q04206	Q8WUF5
P14921	Q9UER7
P31751	Q9UKG1
P07333	O15524
P01111	P52306
O00159	P22681
P52306	P61586
Q02548	Q04727
Q15036	P16109
P98161	Q13563
Q5JVS0	P63244
P51587	Q06609
Q06609	Q96B01
Q14565	Q06609
P17542	P25791
P16157	Q5VST9
P10644	Q92667
O15273	Q8WZ42
Q13315	P00519
P04629	P00519
P21580	Q86VP1
P04637	Q9NZC7
P19438	Q13200
P35968	P98077
P12830	O60716
P12830	Q75N03
Q01543	P15976
P40337	P61758
P40337	Q6IE81
P18887	P49916
P18887	Q96T60
P17028	Q15697
P21506	Q13263
P23246	Q15233
O15530	P41743
P51813	Q16825
Q16650	O14936
O15085	Q9ULL4
P45973	O43463
Q9BZI7	Q9HAU5
Q99963	Q96B97
Q9Y4J8	P11532
Q15642	P42768
O60828	P83876
O60828	Q9Y2W2
O60880	Q13291
Q06787	P63279
P51114	Q06787
Q06787	Q9UHK0
Q92834	Q96KN7
P28335	O75970
P10275	Q9Y6Q9
P10275	Q13772
Q15543	P20226
Q05209	O43586
Q05209	P29353
Q05209	P49023
Q92793	P41235
Q92793	Q13569
Q10567	O43747
P54253	P38432
Q9Y5Y5	P40855
Q05048	Q99728
O43543	O75771
O00623	P50542
Q92968	P50542
P52298	Q09161
P78352	P48050
Q15303	P78352
Q15303	P46937
O75925	P42224
P26599	P14866
P80217	Q13287
Q9Y618	Q96T58
Q9Y618	Q05516
P54257	O14964
P53618	Q9Y678
Q9UM54	P98082
Q9NPI6	Q13485
Q12830	P56270
Q9Y624	Q07157
O15085	O43157
Q16548	Q92934
P62312	P62316
Q9UK45	P62318
P62310	P62318
Q5T2W1	Q92887
P62826	P43487
Q99741	Q13416
O43294	Q14289
Q8NEZ2	Q99816
Q9HB71	P63208
Q13322	Q6Y7W6
O14807	Q12967
P54725	P55036
P54727	P55036
Q9UBF6	Q93034
Q13263	Q15047
O00623	O60683
O00287	P48382
Q9BWF2	Q12933
Q92843	O43521
Q06587	O00257
P63000	P52306
P63000	P53365
O14744	P54105
O15265	O43186
P13569	Q9HD26
O94992	O60563
Q99759	Q13163
Q9H6Z4	O14980
Q08379	Q9H8Y8
Q12972	O75530
Q96RI1	Q15788
P25205	P33992
P25205	O75419
P25205	O43913
P25205	O43929
Q09472	Q99967
Q99767	O94985
O15117	Q86WV1
O43741	Q9UGJ0
Q9UNY4	Q99459
Q9UPT6	P53779
Q8N2W9	O15105
Q15654	Q9HBW0
O75461	Q8N488
Q9NWF9	O00206
Q9UBF6	Q13616
Q9UQ35	Q9H307
Q07820	Q92934
Q9UER7	Q96EZ8
O15360	P51532
Q9Y572	Q13546
Q9UDY8	O95999
P61966	O43747
O94941	P68036
Q13113	Q5T2W1
P51159	Q96C24
Q99569	Q96RT1
A5D8V6	O14964
O75791	Q13480
Q9UNY4	Q9H078
Q9UNF0	Q9UKS6
Q9UKK3	Q14764
O75530	Q92769
Q9Y5X1	Q13444
Q9BY11	Q9UKS6
Q96JZ2	Q07912
O94829	P26367
Q9Y5N6	O00311
Q9UPM8	Q9Y6B7
O15116	Q9Y333
Q9Y333	O95777
Q9Y333	P62310
Q9Y333	Q9UK45
P62310	Q9UK45
P42704	Q66K74
Q9UJY1	P04792
Q13136	Q9Y2X7
Q92890	Q8TAT6
Q96RU7	P18848
Q92813	Q8TEY7
Q8NC51	Q12873
Q99708	P61968
P24864	Q13618
P63215	O14775
Q99523	Q9UJY4
Q5RKV6	Q15024
O15160	P0DPB6
Q9UNL4	Q04206
Q9Y678	Q9P299
Q8IYI6	Q96KP1
Q8TDR4	Q14582
O00311	Q9UBU7
Q96KR7	P62136
Q8NFD5	P51532
Q8NEZ2	Q9UK41
Q5RKV6	Q9Y3B2
P18615	Q8WX92
O95870	Q9BVK8
Q12933	Q99618
Q96AJ1	Q9BW66
Q12933	Q96EK7
Q9HAF1	Q969R5
P57060	O95257
O00214	Q13137
Q15038	Q96GG9
Q9Y6E0	Q9BUL8
Q15645	Q9H0W9
P53567	P55198
P41743	Q9NPB6
P46976	P13807
O95751	Q8TBB1
Q92934	P31947
P24522	Q13561
Q9NX65	Q9NWS9
Q96HA1	O95994
Q9NZ81	Q53G59
Q8WUB8	Q969R5
P37198	Q7Z3B4
Q9UH92	P60520
Q9UKG1	Q8NEU8
P51946	O60232
Q9UNK0	Q9UEU0
Q86YR5	Q5M9N0
P56545	Q9UIF8
O75340	Q9Y5Z4
O94972	Q9H5Z6
Q15038	Q6P1W5
Q13526	Q12933
O43739	Q969H4
Q8NHQ8	Q96NE9
Q96G97	Q96HH6
Q15006	O43402
O43765	P10451
Q96EZ8	Q9BQD3
P49366	Q9GZT8
Q99750	Q9H5Z6
Q96MT8	Q8N6Y0
P49902	Q6ZVK8
Q9UNK0	O43889
P62324	Q9UFF9
P78362	P26368
Q92609	P60520
Q9UNF0	Q9BY11
Q13501	P60520
O43765	Q9Y624
P35638	Q9BPX1
P53992	Q15437
Q9UJY4	Q9NZD8
Q15038	Q8N1L9
O76083	Q13049
Q96G97	Q9NZ43
Q99750	O94907
P43378	O95197
Q9NZD8	Q53H80
Q8WU10	Q96BW1
Q9BPX1	Q96HA8
Q9NZN8	O75175
Q8IYF3	Q5JVL4
O75528	Q96ES7
Q9UBT2	Q9UBE0
O95751	Q6ZN18
P98170	Q96HA8
O43617	O75865
P18206	Q9NYB9
P23297	P25815
P67775	Q15645
Q15038	O75886
Q8TBN0	Q6ZVK8
Q9UPT5	Q9BQD3
Q12933	Q05516
Q01844	O00308
P43686	P62195
P43364	O94818
O76071	Q9Y3D0
Q99750	Q5T681
P43364	Q96AJ1
O95967	Q96EQ0
P36406	P55040
Q92624	Q969V5
Q9UI36	P63279
Q15038	Q9UNA4
Q15645	Q15013
P14136	O00151
Q08379	P15622
P14373	Q05516
Q8TC92	Q8TBB1
Q9UMX1	Q8NEA6
Q99750	O43167
P38159	Q8TBB1
Q12933	Q9H0I2
Q12933	Q9NZD8
P26599	P09012
P40692	Q14134
Q9Y6C2	Q96QG7
Q12933	Q8N9N5
Q99816	Q6UWE0
Q7Z6G3	Q96HA8
Q96EZ8	Q9C0F1
Q12933	O43734
Q96CW1	O14641
P49247	Q8TBB1
P09012	Q9BQ61
O95379	Q9NPJ6
Q14919	Q9NRF9
P10124	O43765
Q9UBQ5	Q9Y262
O95751	Q9H9D4
Q12846	O75379
Q9H190	Q96CG3
Q9UBL3	Q9C005
Q9UQB8	Q9NZQ3
P09914	O14879
P21673	Q9BQ70
Q15645	Q9BSH5
P29972	Q99750
Q15046	Q13155
Q12933	Q8TBB1
P63279	Q13422
Q99750	P55055
Q9Y3C0	Q96AQ6
Q14738	Q13136
O75525	Q8N5R6
O95751	Q7L190
P36575	O14641
Q9UI14	Q8NI60
P49761	Q9BUV0
P43364	Q7Z614
Q9NWT6	Q96DX5
P61978	P43243
Q07869	Q96MF2
P49910	P13994
Q9NXR7	Q9NWV8
Q13526	Q8NF64
Q99750	Q96EN9
P46379	O95967
Q9UI14	Q9NZD8
Q6ZU52	Q9P2A4
Q15637	Q92841
Q8N7W2	O75864
P43364	O14832
P49366	Q6ZVK8
Q92841	Q9Y2W2
Q99750	Q9H0I2
P09913	O14879
Q13137	Q9Y4Z0
P26368	Q9UHX1
P14868	Q13155
O60941	Q12933
Q15102	Q8TBB1
Q8NEF3	Q8N6V9
Q9H190	Q9NP64
P43364	Q8N490
O00746	Q15645
Q9UNT1	Q96LK0
P60896	Q5JVF3
P05161	Q9UMW8
Q15645	Q6P9B6
Q9UJY1	Q9UBY9
P47897	Q12933
P83876	Q8TAI7
Q14005	Q8N6Y0
Q99750	Q9BR84
P60228	Q9HC44
Q96GX9	Q6ZVK8
O95751	Q9NVN8
Q9UI36	Q9UJ70
P17028	P13994
O14641	Q96CG3
Q13137	P60520
P12277	Q96DX5
Q9NP66	Q96A72
Q86YM7	Q9P2A4
P49910	Q9NWS9
P61978	Q9BTD8
Q13895	O94972
Q13287	O14964
P51946	P25786
O43809	Q8N684
P43364	Q9Y6M9
P46379	Q53G59
Q53G59	Q8TBB1
Q13257	Q9Y3Q8
P49407	Q14749
P62854	Q969E8
P62166	Q86UW9
O95198	Q53G59
Q14872	Q9BXS5
Q99961	Q9H788
Q9BW83	Q9Y547
P61964	Q9NS73
Q8N5R6	Q8N6Y0
Q15038	Q9H0E2
Q99750	P32242
P63279	Q9UKT9
Q96CW1	Q59EK9
Q12933	Q9UKG1
O14964	A9UHW6
Q12933	Q9H8Y8
O60763	Q6P1W5
Q9Y248	Q9BRT9
Q9NR12	Q9H0I2
Q12933	Q9Y4K3
P31947	Q96HA8
O43617	Q9UL33
Q13418	Q9NVD7
P30304	P41227
P43364	P58340
Q96H20	Q9BRG1
P62263	Q16594
Q92844	Q5D1E8
O43639	Q9NYB9
O95197	Q9NQC3
Q15038	Q8WV99
Q9P209	Q8TBB1
P06753	Q9BQD3
Q9UI14	Q8TBB1
Q8TBN0	Q96QF0
Q9BY43	Q9BSW7
P25791	Q9UPY8
O15372	Q9P2A4
Q13228	Q15645
Q99750	Q96C28
Q15654	O43639
P45973	Q9BWN1
O14964	O95751
Q9Y5B8	Q9BT92
P49366	P32969
Q9H8S9	Q9BQD3
Q13643	Q13155
P17482	Q99750
Q9BQY4	Q8WWR8
Q05516	Q9NP79
Q96CW1	Q9UHP6
O43707	Q9NPC6
Q15006	Q9Y3B6
P17028	Q9NWS9
Q99750	Q96HB5
P40692	O75152
Q15645	Q8IVS8
Q9UJ70	Q8TBB1
P10276	P28702
Q9UHV2	Q9P2K6
Q9UJW9	Q8N6Y0
Q12933	Q6FIF0
O75506	Q9Y3C0
P62195	P35398
Q9Y312	Q56P03
Q13485	O15198
P29692	P26641
O94972	Q96T60
Q15154	Q9NYB9
O94855	Q15437
P57086	Q9NX65
P23434	Q13287
Q99750	Q5TAQ9
Q8TBB1	Q96M61
Q13155	Q8TBB1
P43364	Q9NXH9
Q99750	Q9H9D4
P61978	Q9NQX5
Q9Y295	Q9H446
Q96CV9	Q9Y3C0
Q96GX9	Q8TBB1
Q9UNY5	Q9NWS9
Q14687	Q9P2K3
Q9UI14	Q9UNI6
Q9H267	Q9H9C1
Q92841	Q8TBB1
Q12933	O75604
Q15427	Q13435
P60520	Q9GZZ9
O94972	O43663
P37198	Q9Y3C0
Q96EZ8	Q15834
Q15645	O95865
P53618	O94972
Q15041	Q9BT40
Q7Z6G3	Q8TBB1
O43281	O75865
P60891	Q9NZD8
P43364	Q8N131
Q9UI14	Q6ZVK8
P37235	Q86UW9
Q9UJW3	Q9UHA3
P49674	O14641
P43364	Q9BQ70
Q99750	Q9H7H0
P24534	P26641
Q15038	Q9BSL1
Q9NYL2	Q8N184
Q96SL4	O43765
O00161	O76038
Q9H9D4	Q8NHQ1
Q9NR12	O00308
P21673	Q8TBB1
O14964	Q8N5R6
Q12983	P17152
O43639	Q9NZQ3
Q15645	Q96JB6
O75716	Q8N5Z5
Q9UMX1	Q9NWS9
P56545	Q15583
O75886	Q969R5
Q9Y5P3	Q96EQ0
Q9NYB9	Q9Y3C0
Q9UHY1	Q9Y3Q8
P46108	P62333
O14641	P04637
Q99750	Q9HB75
P62829	Q9P287
Q9NTM9	Q9NZD8
P43364	Q8TDX5
Q99750	O15015
Q08379	Q14134
Q99750	Q9NQX5
Q9UI14	Q9H8W4
P43364	Q8IYD9
P55735	Q96JE7
Q86U70	P81877
Q15038	Q9BQY4
Q9UMX1	Q96H86
Q96EZ8	Q9NPJ6
O14964	Q96LR2
O43298	Q8TBB1
P42568	Q92624
Q99750	Q14781
Q9Y230	Q9BVM2
P56279	Q13137
Q13200	Q8WVY7
Q96ED9	Q9H8T0
P49760	P49761
Q9NYB9	Q8IY31
O14964	Q15038
P50552	Q9C026
P61978	O75525
P17028	Q9NX65
O43809	Q16630
Q9Y3C4	Q96S44
Q9BXS5	Q59EK9
Q9UI14	Q96C03
Q96EZ8	Q9Y3C0
Q12983	O60238
Q16594	Q14919
Q06547	Q96M61
Q9NS73	Q9H8W4
Q13137	Q9H0I2
Q9HC98	Q7Z6G3
Q9BU20	Q9BT04
Q9Y2J4	Q96A72
Q99816	Q53EZ4
P28702	O43791
Q99750	Q8IYI8
P14317	Q9H788
Q9UBP6	P57081
O00204	Q96Q35
P10644	Q9H8W4
Q9Y2W2	Q49AR2
Q5JR59	Q8TAB5
O76003	Q6FI81
O95639	Q6UN15
P56545	P48552
P55039	Q9H446
Q96EF0	Q96QG7
O94972	Q7L590
P60891	Q9H8Y8
Q9UI14	Q9GZT8
Q13191	O43639
Q5TD97	O96015
Q9UNP9	Q9HCS7
Q9Y5P4	Q13352
O14641	Q96BN8
Q13490	Q12933
P49910	P57086
Q15645	Q9GZT8
Q9BQD3	Q8TBB1
Q15038	Q8N9H8
Q96KQ7	Q9Y4X4
Q96E93	O95214
Q15555	Q9UPY8
O14964	O75886
P37198	Q9NVV9
O95817	Q9UJY1
Q9BPX1	Q6ZVK8
Q99750	Q8NE01
Q9NS73	Q9H8E8
Q9Y5P6	Q96IJ6
O60238	P17152
O60232	P48643
P35638	O43791
Q09161	O75150
P62333	O00233
P46527	Q12933
Q16630	O00308
P62495	Q14145
Q99750	Q9P2T0
P43364	Q49A88
O95391	Q9H2H8
Q92624	Q6ZMV9
P05783	O14964
P22234	Q6ZVK8
P61978	P38159
Q15654	Q96I34
P23497	P63165
Q12805	O43765
P33316	Q6ZVK8
Q8TBK6	Q9NVV9
Q9GZM5	Q9BSR8
Q9UPT5	Q8N6Y0
Q99750	O43439
P02794	P02792
Q86YM7	Q9BW04
Q15645	Q96HA8
Q9UI14	Q96HA8
Q13287	O75971
Q15233	Q13526
P29972	Q15654
P22234	Q8TBB1
P16083	Q9H8Y8
P17028	P57086
P61978	Q96PU8
Q9Y283	Q9NWT6
O14641	P15622
O15535	Q9NWS9
Q99750	Q8WV24
Q8N6Y0	Q8IYI6
Q99750	Q96LL4
P32242	Q9UKJ5
Q9P0L1	Q8N8B7
P61978	O60504
Q99836	O43791
P43364	Q15007
Q15154	Q9P209
O75478	O14964
Q13155	Q0VDD7
P06753	P0C1Z6
Q9UHX1	Q9UHR5
Q9Y620	Q8TBB1
Q9Y4C2	Q15427
P49902	Q86TA1
P54725	Q12933
Q9Y297	Q9C026
Q92624	Q9BT88
Q9UJU6	Q9H788
Q9HCY8	Q96FQ6
Q9BQ66	Q8NEC5
P63279	Q9Y4E5
Q07955	P26368
Q15645	Q969Q4
P61978	P63279
Q9UKJ5	Q9H8W4
Q92551	Q15024
P41226	P05161
O15294	Q9H1M0
P78364	Q8IXK0
P49910	P15622
O76071	Q9H5X1
P35900	Q9BUW7
Q96EZ8	Q9Y2W2
Q9UPT5	Q9UMS4
P62191	Q13200
Q12933	Q96CG3
P35998	Q16401
P35249	P40937
Q15637	P26368
P11234	Q15311
P40855	P56589
O75478	O75528
Q06323	Q9UL46
P43686	O75832
P13807	O15488
P30281	P46527
P62820	Q9UI14
P61244	P50539
Q07817	Q13323
O75461	Q14188
O75791	O95630
O75886	O95630
O75558	O00161
P06730	Q13541
O43707	O00151
Q06587	Q8N488
Q12929	Q9UQB8
Q92783	O14964
P49736	Q14566
P98170	P55211
P17275	P15407
P23297	P04271
P35638	Q16520
P63279	O75928
P36404	O43924
Q01081	P26368
P61586	Q07960
Q16611	Q07817
Q15369	Q15370
P30281	P38936
Q99816	Q9UK41
Q99816	O14964
O15360	O15287
Q9NUX5	Q96AP0
P23297	P26447
Q13094	O75791
Q14566	Q7L590
Q13257	Q9Y6D9
P38936	P12004
Q9Y5S9	Q96A72
Q99613	O75821
Q07817	Q99638
Q13439	P40616
P10074	Q96BR9
Q96JP2	Q96BR9
Q8N554	Q96BR9
Q9H9D4	Q96BR9
P15622	Q96BR9
Q13426	Q9H9Q4
Q13426	P49917
P09038	P18827
P09038	P34741
P19438	P63165
P10415	Q13323
P10415	O00198
P10415	P55957
P10415	Q13794
Q07817	P55957
Q07817	Q13794
Q92843	Q92934
Q07820	Q96LC9
Q16548	Q13323
O43521	P10415
O43521	Q07817
O43521	Q07820
Q9BXH1	P10415
Q9BXH1	Q07817
Q9BXH1	Q07820
Q92934	Q07817
Q92934	P10415
Q13794	Q07820
Q9NQ31	P17612
Q9Y6K1	P01106
Q9Y6K1	Q13105
P10415	Q14643
P29590	Q13569
Q15831	Q7RTN6
Q7Z2E3	P18887
Q7Z2E3	P09874
Q5TKA1	P06400
P61970	P62826
P06746	P18887
Q9H081	Q8NBT2
Q9H081	Q9HBM1
Q9H081	Q8NG31
Q9H081	O95229
Q9H081	Q9H410
Q9H081	Q9BZD4
