Q8N140	Q9NQY0
Q96GY3	Q86WT1
Q9BXK1	Q7L7V1
Q6NSI4	Q9HB75
P49810	Q9UBD5
Q86YP4	Q9P1U1
Q2M1P5	Q9NRW7
P17036	Q2YD98
Q8IX12	O75800
O00560	Q9Y586
Q9UBN4	O75506
P30154	O95343
Q6ZU52	O00273
P07315	O94955
Q9BR76	P27658
Q9NQC3	P60520
Q8IZD4	Q8IW35
Q9P2W9	O95870
P08709	P45985
O60678	P05109
Q14315	Q99062
P43489	O15047
Q8N8K9	Q9Y5S8
Q9UNK0	O60481
P13224	O75380
Q13017	Q9BQE4
P00540	O95786
Q86UT6	Q02952
Q9UHA2	Q14680
Q5HYW2	O60568
Q9BVT8	Q8NA72
Q9UPQ9	Q12948
Q96JA1	Q96RJ3
O94964	O43680
P00736	Q13651
Q8WVL7	O76041
Q16698	A7MCY6
O75607	Q96MY1
Q02548	Q9BT78
Q9H5J8	O94864
P48444	Q9UJZ1
Q96DR7	Q8TAF8
Q9P2A4	P04183
O75865	O00401
Q14202	Q92599
Q16236	P49721
Q6ICG6	Q8N2I9
Q09013	Q8WVX3
P00519	O14879
Q93034	Q96EI5
Q9NRP4	Q86X45
O94885	Q14749
Q5VUJ6	O95931
O15503	Q9NQG6
O00482	O00161
P17275	Q00613
P30305	Q13586
Q96M94	Q9ULA0
Q9UJX2	P00734
Q9BSM1	P19883
Q3MII6	Q16236
Q14669	Q9UBC3
Q9Y5Q8	Q8N1A6
Q8HWS3	P12268
P39019	A0MZ66
Q9Y2U9	O95391
Q96AG4	Q8WWQ0
P53365	Q15036
Q712K3	Q5VZL5
O43493	Q9BTD8
O60841	Q15006
Q9UBN7	Q86UR5
Q8IX18	Q5J8M3
Q14139	Q96QF0
P15374	Q8IYX8
Q9Y6I3	Q8IWD4
Q9UBE8	P36507
Q9BXF6	Q96KS9
P02760	P50221
Q02156	O60832
Q00587	O60391
Q9HB07	Q96PF2
Q8N0V3	P51648
Q9BSR8	Q9Y6Q6
Q96CP2	Q8N2Q7
Q07666	Q8TEB9
Q8NI27	P41223
Q9BRS2	O60346
Q9UPQ4	Q96F46
P42677	Q96AP4
Q15005	Q9H2X0
Q9BXB1	P21964
Q32NC0	P13489
Q13526	P07550
Q8WWN9	O15481
Q8IWL3	Q96B23
Q08999	O75122
Q96E35	O43294
P06400	P28072
Q8IWY8	O14576
P23771	O60291
O95373	Q9Y3B1
P49675	P42773
Q96FT9	Q9UBF9
Q9BXJ1	Q9H4L5
Q86Y33	Q9H5I1
P05121	Q6N043
Q9H6T3	Q9NPC8
Q8WTU0	Q5JRA6
P61221	Q9BY84
Q9BSB4	P30304
Q9UGN5	Q16635
Q9UFF9	Q96TA1
Q9H0E2	Q16288
Q9UM54	Q9NRQ5
Q8WW32	Q5HYK3
O14497	Q8TEB9
Q7Z6J8	Q9Y272
Q9NY61	Q9P0J0
P49137	P54368
Q969E8	P30281
O15068	O14512
Q9H078	Q99732
A7KAX9	Q16851
P80217	Q96L73
Q6ZSG1	Q8TAA9
Q07020	Q92598
P02792	P09086
O43852	Q8N5M4
Q86VW0	Q6PD62
Q12796	Q92615
P41212	Q9BWT6
O43684	O75886
Q8WVL7	P23497
Q5TGY3	Q9NPQ8
Q13472	Q19AV6
Q7RTU3	P35638
Q5QP82	Q5T5X7
Q6SPF0	Q12980
Q5W0Q7	Q5W0Q7
O95379	P55291
P22004	Q9UPZ9
P50402	P78504
Q9BV90	Q13554
P50542	Q9NZM3
P14625	O00571
O15550	Q96EQ8
Q9BQ61	Q6ZVK8
Q8N6V9	Q86WV6
Q96GX9	P46939
Q9Y586	Q14257
Q99590	Q93009
P54852	P14920
P62906	P23352
Q13155	Q9H944
Q92985	P38117
Q969N2	Q9H6Q4
Q969R2	Q6PHW0
Q9H0W8	Q9Y4H2
O15287	Q9NRL3
P56180	P62487
P46527	P35659
Q96Q40	P50990
Q9P0K8	O00750
Q9H0M0	Q6IE81
Q8NFZ5	P19544
Q5VZV1	Q9UNQ2
Q9BZE9	Q9NWV8
Q13309	Q8IXQ6
P62899	Q9NR96
Q4G0F5	Q13219
O75663	P55010
O14770	Q70UQ0
O15209	P46940
Q8NCD3	P12270
Q5GLZ8	Q96CU9
Q9BZR9	Q9H7T9
Q9H8Y5	P57735
P83876	O43157
Q96Q77	Q6NZ36
P62306	Q96LB3
P62917	O94985
Q9P2R3	Q14114
Q86UE8	Q9BYW2
Q8WTS6	Q96LL4
O75592	P82912
Q96QS6	O15217
P19338	Q9UJ98
Q13541	Q9NU19
Q9H7L9	P36955
Q9UJY1	Q12873
P48380	Q9Y4E8
Q86X55	Q96MP8
Q9BT88	Q6PEW1
Q9BRT6	Q9BSW7
Q9ULD6	Q96F46
Q8WVM7	Q9UJP4
Q96RK4	Q86VZ6
Q9UHP6	Q10586
O75449	O15344
Q8N720	P46734
Q9Y5J3	Q5ST30
Q13094	Q8IWE2
Q9UIQ6	Q12873
Q14168	Q5JWF2
P00747	P62308
P12004	Q8N1F7
Q05048	P49321
P13010	Q02153
Q66K64	P53621
Q6NXT1	Q5TKA1
Q06643	Q9BXF6
Q86UQ8	P01137
P49589	Q96S65
O14544	P50539
Q02410	Q5HYK3
Q96T49	O00443
O75306	Q16667
Q9Y2L9	Q2M1K9
Q00013	Q15562
Q9BYF1	Q96EK4
Q96JZ2	Q9BTW9
Q9H609	Q12815
P52435	Q92793
Q96T88	P14678
Q9BVT8	P15407
Q96MP8	Q9NYF8
Q15059	Q9NYZ3
O14576	P14778
Q96CS3	Q9UDX3
Q9UBC2	Q96SI1
Q8WVC0	Q14190
P28288	P15289
Q7Z460	O15315
P00441	O00623
Q8IYL3	Q8IWZ6
Q96GQ7	P35658
Q14155	Q9Y255
Q9BUN8	Q8TBC5
Q6QNY0	P41271
Q9Y3D7	Q8TBZ8
Q9BSI4	Q5TH69
P05109	Q86UT8
P78509	Q9Y2J2
O14978	Q9NS61
Q9NV58	Q15562
Q15036	Q8WV99
P00736	Q9BXS1
P49903	Q5JRA6
Q8IXI2	Q9NR56
Q9BY12	Q8NCE2
O75152	Q01968
Q9UIM3	O43502
Q15398	P57775
Q96RT7	Q17R89
Q05516	P07814
A1L4K1	Q8WVT3
P09661	Q96NY9
P48050	Q96NY9
Q7Z7H8	Q9C026
Q9H4E7	Q9HBD1
P29475	A0MZ66
P04271	O95996
Q15369	Q96A72
P52294	Q12841
Q7Z739	P62508
P54257	P43250
P17612	Q9HCM7
Q9H496	Q9Y253
Q9Y4R8	Q9BUJ2
Q14764	P10074
P17947	Q5BVD1
Q9HB89	Q9NRL2
Q8IVA1	O43633
Q96M61	P24071
P21860	Q02078
Q92636	Q9BQ66
Q9Y450	P46060
Q7Z589	P50990
O76031	O75127
Q96DR7	Q99871
Q6NXT1	P35247
Q6P3X3	Q5TCQ9
O60763	Q9Y5A6
Q9NQX6	P08476
P21579	Q5VUJ6
P35227	Q9NW08
P61073	O00204
Q8TEV9	Q8NHQ1
Q96DF8	Q9Y303
P56279	Q8NA72
P04114	P31948
O75592	Q96SD1
O15169	Q9H0W5
Q8WTW4	A1L4H1
Q9NZF1	O75955
Q96BJ3	Q9Y3R0
Q8WZ19	Q13151
Q15742	Q71F23
P21145	P07225
Q8N3C7	O95707
Q5JVL4	Q96IT1
Q14CS0	Q9NQ87
Q95460	Q5UIP0
Q13573	P29466
Q9BWT6	O60941
P43146	P29317
Q9ULM3	O75155
Q9BXB1	P29350
O14649	Q8NFH5
Q96BZ8	Q9BYG4
Q9UGI8	O60716
Q7KZN9	Q8IY92
Q8IX90	Q15366
Q9NP85	Q9C0I1
Q9BX59	Q9ULA0
O15392	Q6PII5
Q96Q83	P23582
Q96DX5	P31274
Q9UKM9	O95295
Q14749	P0C1Z6
Q92667	Q16602
Q8IUC6	Q96DR5
P20700	Q8NBR6
P52333	P18754
P05181	P05181
Q9Y4P1	Q9P2I0
Q6NXR4	Q9NWK9
Q13064	O75506
Q8NC51	Q13867
Q9BZJ0	Q13823
Q2NL98	Q15363
O43236	Q14669
Q16513	Q12905
Q6ZMV9	Q96LT7
Q96F86	Q9P2B4
Q8IY63	O75400
Q14657	Q9Y664
P15172	P07766
P63165	Q9HD34
Q6PI26	O15524
P78395	Q8N6Q3
Q96BM1	Q9H6L4
Q13813	O00512
P78509	P30084
P22455	Q9HB75
P57771	P11940
Q96Q40	Q8IUD2
Q9BZR8	Q9NXV6
Q6PKG0	Q96FI4
O43583	Q15404
Q2M2E3	P35232
Q5T1M5	Q5JSZ5
Q504U0	Q96G97
Q96IY1	Q9NZN9
P13498	Q99497
Q96PU5	Q9Y3C5
O95182	Q9Y5B0
P42857	Q9BUE0
Q9BRV8	Q15004
P18859	O15541
Q92837	Q8WXE9
P48507	Q9UJC3
Q96RU7	Q9ULB1
O00716	A1L443
Q68CZ2	Q9UHX1
O60671	Q15005
P17947	Q53EL6
P56945	O60269
Q9Y6X8	Q8NI37
Q9Y6X2	Q9BV19
P82933	P10589
Q8N5M9	Q92567
O14786	Q8N2W9
Q96LD8	P07237
P51955	Q96JA1
P48444	P30530
Q9NX70	Q92966
O95295	Q9NZN8
O75385	O43711
Q5U5X8	Q8NDD1
Q9UI10	Q8N0Y2
Q00013	Q13232
P62701	O43427
P42702	Q96S65
Q86X55	Q9H3P2
P20248	P63244
Q9H8M5	Q8NE71
Q14209	Q9H165
Q9H0K1	Q86T82
Q9P000	Q9NVV5
Q8ND90	P53672
P21283	Q9H9H4
Q15397	Q8TCE9
Q9NWZ3	Q8WTX7
Q16514	Q05923
Q8WUZ0	Q12873
Q8N2G8	P15622
P15172	P41162
Q9NVM4	Q8TDN6
