O00291	Q9Y265
P20366	O75817
O95168	Q92599
Q9UHD2	Q8TAA3
Q6ZSG1	Q96H22
P11137	Q9UII6
Q9P2W3	Q9NRG0
Q13009	P30039
Q9P2G9	Q5VV42
Q96GA3	Q99497
Q9UI26	Q03188
P49247	Q9BRJ6
Q5QJE6	Q9HCE7
Q9NTI5	Q13432
Q9NQX3	Q969J2
P17661	Q86WP2
O43521	P01160
Q16082	Q13797
Q8WVM8	P62304
P05496	Q9GZY6
O43711	Q8N9N2
O15015	P34130
O95967	Q709C8
Q9H079	P54252
P62263	Q9Y5M8
P49715	Q9UGI0
Q7KZ85	Q8TBC4
P53367	O75807
P63316	Q53ET0
O75821	Q15788
Q15884	Q9H1A4
Q3B7T1	P61006
Q15375	P02458
P0CG13	Q9UM07
Q9UKD2	P53367
Q96DR7	Q9Y3E7
Q9ULL4	Q92609
P23771	P26373
Q8IZD4	O15062
O15162	Q8TAQ2
Q8N1L9	Q96S96
Q99567	P19022
O76015	O60504
Q8TDR4	P13987
Q8NHV4	Q9BWT6
Q9Y316	P30876
Q9NW82	Q0D2K3
Q9P2G9	Q96FZ2
O94818	Q13571
Q5SSJ5	Q14126
O95671	P35523
P41743	Q96MW7
O14802	Q86VI4
Q9UHA4	Q96H55
P48050	P32243
Q8IYB8	O95997
Q15050	P48431
Q9NXK8	P10912
P04156	Q9Y6I9
Q96BJ3	P63211
Q8TAP6	Q9Y4K3
O75069	Q9P2N6
P43146	Q7Z628
Q9Y266	Q5FBB7
Q9UPN9	P39748
Q16630	Q8WUF5
O43490	Q2TBE0
Q96GX1	P62979
P56278	P10242
Q9NZ43	Q9NWQ8
Q9NX14	Q0VDD7
Q9Y6B2	Q9Y262
Q86SX6	P49755
Q9UBB5	P02730
Q8N987	Q12873
Q9Y4K3	Q9Y574
Q00610	O95271
Q96CU9	Q969H4
Q6P1W5	Q9UHY8
O95900	O43572
O14893	P13489
Q9H8N7	O95758
Q8IZD4	P04198
P15408	P40238
Q9P0K8	Q7L775
Q00613	O15209
Q9UL33	Q15029
P41743	Q8N3I7
Q8N6V9	O75113
Q5T4S7	Q9NXK8
P12259	Q6KC79
P13671	Q92609
Q8IWE2	Q92854
Q5ST30	Q13671
Q8N1B4	Q6ZMZ0
Q8IU81	A4D1S0
P08651	Q9UPU9
Q01831	O43164
O43491	Q8IYI8
Q16531	Q16633
O00443	P06401
Q03164	Q9UJ04
P30533	O43439
P36639	P49005
Q8WU90	Q9UQ13
Q9NQC1	Q9P2J8
Q8NF50	P51148
O15031	Q9BQ04
P04844	Q96MT8
Q9UKJ1	P13349
Q9BS18	P07737
P07919	Q96BM1
Q8NDX5	Q92888
Q9UJX2	Q9Y2V7
Q9H5Z6	Q8NEZ4
Q8N386	Q9Y2X0
Q9UHP3	O60244
Q9NYF0	Q9UBV8
Q13202	P57086
Q13347	Q9NQ33
Q8WXF8	O75534
Q7Z3G6	P80217
Q9HAY2	Q96T68
Q14201	Q9NR46
Q96FX2	Q9H9D4
Q9Y421	P35869
Q96CG3	O75503
P84103	P41162
