v1	v2	label
Q06697	P89105	1
Q06697	P38439	1
Q06697	P38351	1
Q06697	P53064	1
Q06697	P32558	1
P32657	P15790	1
P32657	P19454	1
P32657	P38930	1
P32657	Q04636	1
P32657	P32558	1
P89105	P38439	1
P89105	P38351	1
P89105	Q04636	1
P89105	P53064	1
P89105	P32558	1
Q12046	Q03654	1
Q12046	Q12309	1
Q12046	Q08963	1
Q12046	P32523	1
Q12046	P53131	1
Q12046	P28004	1
Q12046	Q12417	1
Q12046	P33334	1
Q12046	P40018	1
Q12046	Q06091	1
Q12046	P28320	1
Q12046	Q06411	1
P53854	P32523	1
P40568	P38313	1
P40568	P38907	1
P40568	Q02732	1
P40568	P39731	1
P40568	Q12143	1
P40568	P53298	1
P38439	P38351	1
P38439	Q04636	1
P38439	P53064	1
P38439	P32558	1
P53919	P33322	1
Q12143	P38313	1
Q12143	P38907	1
Q12143	Q02732	1
Q12143	P39731	1
Q12143	P53298	1
P38351	Q04636	1
P38351	P53064	1
P40359	Q12488	1
P40359	Q12146	1
P40359	Q03406	1
P04050	P16370	1
P04050	P23615	1
P04050	P41895	1
P04050	P41896	1
P04050	P35189	1
P53064	Q04636	1
P53064	P32558	1
P32558	P15790	1
P32558	P19454	1
P32558	P38930	1
P32558	P38351	1
P32558	Q04636	1
P27692	P04050	1
P41895	P08518	1
P41895	P41896	1
P41895	P35189	1
Q02776	P23644	1
Q05541	P38632	1
Q05541	Q07913	1
Q05541	P43124	1
Q05541	Q12749	1
Q05541	Q08204	1
Q06344	Q12499	1
P43587	P36047	1
P53201	P80428	1
P53201	Q08649	1
P53201	Q03940	1
P53201	Q12464	1
P53201	P38811	1
P53201	Q06337	1
P53201	P53930	1
P53201	Q05471	1
P53201	P39995	1
P53201	P38806	1
P46951	P37297	1
P38789	Q03532	1
P38789	Q02892	1
P38789	P53136	1
P38789	P38805	1
P38789	P40693	1
P38789	P35178	1
P38803	P38883	1
P36076	P36024	1
P36076	Q08438	1
P36046	P23644	1
P36132	P46984	1
P36159	P08466	1
P36159	Q03161	1
Q12530	P41812	1
Q12530	P53833	1
Q12530	P38336	1
Q12530	P28005	1
Q12530	P53218	1
Q12530	P38786	1
Q12530	P40993	1
Q06411	P32639	1
Q06411	Q12309	1
Q06411	P52868	1
Q06411	P53131	1
Q06411	P28004	1
Q06411	P33334	1
Q06411	P40018	1
Q06411	P54999	1
Q06411	P36118	1
Q03718	P40026	1
Q03718	P38632	1
Q03718	Q08204	1
P53846	P47118	1
P13856	P19073	1
P40010	P39744	1
P40010	P38883	1
P46995	P04050	1
Q03718	Q12306	1
Q12046	P32639	1
Q04660	P53261	1
Q04660	Q12024	1
P53276	P42945	1
P53276	Q02931	1
P53276	Q06679	1
P53276	P38882	1
P53276	Q04305	1
P38882	P42945	1
P38882	Q02931	1
P38882	Q04305	1
P38882	Q06679	1
P42945	Q02931	1
P42945	Q06679	1
P42945	Q04305	1
Q06078	Q12220	1
Q06078	P25635	1
Q06078	Q05946	1
Q06078	P40362	1
Q06078	Q02354	1
P40362	Q12220	1
P40362	P25635	1
P40362	Q05946	1
P40362	Q02354	1
Q05946	Q12220	1
Q05946	P25635	1
Q05946	Q02354	1
P53254	P25368	1
P53254	P15790	1
P53254	P43639	1
P53261	Q12522	1
P53261	Q08235	1
P53261	Q02892	1
P53261	Q03532	1
P53261	P40693	1
P53261	P35178	1
P53261	Q12024	1
P53261	P43586	1
P53261	P33201	1
P53261	P53927	1
P53261	P53136	1
P53261	P40078	1
P53261	P38779	1
P53261	Q07915	1
P00958	P46672	1
P00958	P46655	1
Q12499	P27476	1
P20447	P33322	1
P28007	P33322	1
P28007	P32495	1
P28007	P53336	1
Q12499	P33322	1
P27476	P33322	1
P53336	P33322	1
P53336	Q04867	1
Q12499	Q12464	1
Q12499	Q12460	1
P32481	P39730	1
Q12176	Q05022	1
P39744	Q12176	1
P39744	Q05022	1
P06103	P39730	1
P47047	Q12476	1
P47047	P53632	1
Q12149	P47047	1
Q12387	Q06504	1
P39744	Q07896	1
P40856	P20604	1
P20604	P43612	1
P20604	P36123	1
P32639	P33334	1
P40089	P33334	1
P32639	P20053	1
P32639	P36048	1
P22147	P47017	1
P22147	P25644	1
P22147	P53235	1
P57743	P22147	1
P57743	P47017	1
P57743	Q06406	1
P57743	P25644	1
P57743	P49960	1
P40089	P47017	1
P40089	Q06406	1
P40089	P25644	1
Q06406	P22147	1
Q06406	P47017	1
Q06406	P25644	1
Q06406	Q03338	1
Q03338	P20053	1
Q03338	P19735	1
Q03338	P36048	1
Q12499	P15646	1
P39935	P06634	1
Q05022	P04147	1
P39935	P04147	1
P39935	P07260	1
Q12499	Q06506	1
Q08162	P53859	1
Q08162	P38792	1
Q08162	Q08285	1
Q08162	Q12277	1
Q08162	Q05636	1
Q08162	P53256	1
Q08162	Q12149	1
Q08162	P46948	1
Q08162	Q08491	1
P38801	P53859	1
P38801	Q08162	1
P38801	P38792	1
P38801	Q05636	1
P38801	P53256	1
P38801	Q12149	1
Q05636	P53859	1
Q05636	P38792	1
Q05636	Q08285	1
Q05636	P25359	1
Q05636	P53256	1
Q05636	Q12149	1
Q05636	P46948	1
P53256	P53859	1
P53256	P38792	1
P53256	Q08285	1
P53256	Q12277	1
P53256	P25359	1
P53256	Q12149	1
P53256	P46948	1
P53256	Q08491	1
Q12149	P53859	1
Q12149	P38792	1
Q12149	Q08285	1
Q12149	Q12277	1
Q12149	P25359	1
Q12149	P46948	1
P47076	P22276	1
P47076	P35718	1
P47076	P32910	1
P47076	P32349	1
P47076	P04051	1
P35718	P22276	1
P35718	P17890	1
P35718	P32910	1
P35718	P25441	1
P35718	P32349	1
P35718	P04051	1
P32910	P32349	1
P32910	P04051	1
P07703	P22276	1
P07703	P28000	1
P04051	P22276	1
P04051	P36121	1
P04051	P32349	1
P10964	P20434	1
P47006	P20434	1
Q01080	P20434	1
P16370	P08518	1
P16370	P20433	1
P16370	P20434	1
P16370	P34087	1
P16370	P20435	1
P20434	P08518	1
P20434	P20433	1
P20434	P04050	1
P20434	P20435	1
P20434	P35189	1
P20434	P41895	1
P20434	P41896	1
P07703	P20434	1
P07703	P20435	1
P04050	P08518	1
P04050	P20433	1
P04050	P34087	1
P04050	P20435	1
P41895	P16370	1
Q12499	Q01080	1
P10964	P22138	1
P10964	P47006	1
P10964	P46669	1
P10964	Q01080	1
P10964	P07703	1
P47006	P22138	1
P47006	P46669	1
P47006	Q01080	1
P47006	P07703	1
Q01080	P22138	1
Q01080	P46669	1
Q01080	P07703	1
P20434	P22138	1
P20434	P46669	1
P47076	P07703	1
P35718	P07703	1
P07703	P22138	1
P07703	P46669	1
P04051	P07703	1
Q08920	P34160	1
P40968	Q08920	1
P17629	Q07478	1
P33441	Q07478	1
P17629	P33441	1
P17629	P53552	1
P17629	O13539	1
P33441	P53552	1
P33441	O13539	1
P53552	O13539	1
P32832	Q12406	1
P32832	Q06488	1
P32832	Q06639	1
P32832	Q02206	1
P32832	Q07979	1
P32832	P25632	1
P32832	P43609	1
P32832	Q03124	1
P32832	Q06168	1
P32832	P32597	1
Q06488	Q12406	1
Q06488	Q07979	1
Q06488	P25632	1
Q06488	P43609	1
Q06488	P32597	1
Q06639	Q12406	1
Q06639	Q06488	1
Q06639	Q07979	1
Q06639	P25632	1
Q06639	P43609	1
Q06639	Q03124	1
Q06639	P32597	1
Q02206	Q12406	1
Q02206	Q06488	1
Q02206	Q07979	1
Q02206	P25632	1
Q02206	Q03124	1
Q02206	Q06168	1
Q02206	P32597	1
Q07979	Q12406	1
Q07979	P25632	1
Q07979	P43609	1
Q07979	P53330	1
Q07979	P32597	1
P43609	Q12406	1
P43609	Q05123	1
P43609	Q02206	1
P43609	P25632	1
P43609	Q03124	1
P43609	Q06168	1
P43609	P32597	1
Q03124	P32597	1
P53330	Q12406	1
P53330	Q05123	1
P53330	P25632	1
P53330	P43609	1
P53330	P32597	1
Q08278	Q12343	1
Q08278	P53114	1
Q08278	P32569	1
P32569	P34162	1
P32569	P32585	1
P32585	Q08278	1
P32585	P53114	1
P32585	P19263	1
P32585	P34162	1
P32367	P33339	1
P32367	Q12415	1
P32605	P33203	1
P32605	P53207	1
P33203	Q03776	1
Q03782	P32605	1
Q03782	P33203	1
Q03782	Q00916	1
Q03782	P53207	1
Q03862	P47019	1
Q08208	Q08235	1
Q08208	P21304	1
P53313	P25293	1
P28007	Q06344	1
P42945	Q04177	1
Q06679	Q02931	1
Q06679	Q04305	1
P53276	Q04177	1
P38882	Q04177	1
P15790	P19454	1
P15790	P43639	1
P15790	P38930	1
P19454	P43639	1
P19454	P38930	1
P38930	P43639	1
Q04636	P15790	1
P36076	P15790	1
P36076	P19454	1
P38764	P38886	1
P38764	P43588	1
P38764	P32496	1
P38764	P32565	1
P38764	P40016	1
P38764	Q12250	1
P38764	Q12377	1
P38764	Q08723	1
P38764	Q04062	1
P38764	P33299	1
P38764	P40327	1
P38764	P33298	1
P38764	Q01939	1
P38764	P43593	1
P38886	P43588	1
P38886	P32496	1
P38886	P32565	1
P38886	Q12250	1
P38886	Q12377	1
P38886	Q06103	1
P38886	Q04062	1
P38886	P33299	1
P38886	P33298	1
P38886	Q01939	1
Q12377	P43588	1
Q12377	Q12250	1
Q12377	Q06103	1
Q12377	Q08723	1
Q12377	Q04062	1
Q12377	P33299	1
Q12377	Q01939	1
Q08723	P32496	1
Q08723	P32565	1
Q08723	P40016	1
Q08723	Q04062	1
Q01939	P43588	1
Q01939	P32496	1
Q01939	Q12250	1
Q01939	Q06103	1
Q01939	Q04062	1
Q01939	P33299	1
Q01939	P40327	1
P43593	P32565	1
P43593	Q04062	1
P43593	P33299	1
P32481	P32497	1
P32481	P38249	1
P32481	P38431	1
P32497	Q05775	1
P32497	P06103	1
P32497	P38249	1
P32497	P40217	1
P32497	Q04067	1
P32497	P38431	1
P06103	Q05775	1
P06103	P38249	1
P06103	P40217	1
P06103	Q04067	1
P06103	P38431	1
Q03195	Q05775	1
Q03195	P32497	1
Q04067	Q05775	1
Q04067	P38249	1
Q04067	P40217	1
P09032	P32481	1
P09032	P12754	1
P09032	P32501	1
P09032	P32502	1
P09032	P09064	1
P32481	P12754	1
P32481	P32501	1
P32481	P32502	1
P32481	P09064	1
P32501	P12754	1
P32501	P32502	1
P32501	P09064	1
P06103	P09064	1
Q06142	Q02821	1
P53552	Q02821	1
Q12149	Q02821	1
P34160	Q02821	1
P40968	P32523	1
P32523	Q03654	1
P32523	Q12309	1
P35728	Q12102	1
P35728	Q01329	1
P35728	Q06224	1
Q01329	Q06632	1
Q01329	P42841	1
Q01329	P42073	1
Q01329	P53538	1
Q01329	Q06224	1
P53295	Q03768	1
