P22438	P32461
Q12205	Q01649
P31383	P06781
P32335	Q03983
P47027	P01123
P53840	Q12156
P31116	P00044
P48524	Q12247
Q00711	Q04412
P15442	P38841
Q3E7A8	P53873
P43551	P35732
Q03760	Q03981
P40154	P40489
P40361	P32911
P54783	Q12405
P33317	P33311
P40356	Q12233
P38932	Q06683
Q12132	Q12493
P49167	Q03266
P50873	Q02630
P40167	P47108
P23285	Q02864
P19211	P32504
Q03772	Q99288
P53390	P36154
P53976	P53100
P38959	P39731
P38129	Q07794
P47057	Q3E737
P42951	P53228
P40506	P53920
P47175	P38856
P53968	P00830
P39707	P38239
P40474	Q04659
P25502	P33303
P25576	Q04921
P21734	Q05567
P47058	Q03010
P38751	P35995
P47053	P53886
P40963	P40339
P39993	P20051
P52920	Q03124
P32451	P39517
P38213	P32843
P17122	P38081
P38792	P20424
Q8TGU2	Q03619
P47034	P22134
Q06597	Q02931
P33421	Q12408
Q12202	P36056
P25588	Q08032
P33893	P23833
Q03855	Q04212
P07253	P43605
Q06510	Q3E7B3
P32793	P32838
Q04869	Q07732
Q04921	P53219
Q02873	P32656
P53133	P54000
P53970	Q06205
P38740	P23369
P53285	Q04598
Q12246	Q08484
P53823	P53305
P38523	P40413
P40475	Q07949
P38219	P32480
P53742	P17891
Q07684	P32583
Q03407	P04821
P38180	P53336
P48360	P43589
P37296	P40008
P53953	P25357
P38900	Q07362
P40260	Q06098
P53753	P07170
P25579	P36106
P38439	P08539
P25642	P40052
Q12461	P30620
P38227	P17709
P38204	P38767
P40219	P00424
P38288	P12887
Q08580	Q03702
P38723	P40454
Q07533	P25566
P40053	P38770
P32325	P40537
P38149	Q04004
Q12042	P50947
P15565	P47029
Q06631	P54730
P48164	P06786
P25382	P22202
P47178	P32525
P39523	P19073
P37302	P38709
Q3E7B7	Q07979
P05375	Q04149
Q03433	P47033
Q06489	P48412
P06105	P0C2I8
P43617	P32351
P38219	P39010
Q12415	P34225
Q12223	Q02933
Q01589	Q03002
P38339	Q03954
P33317	P32524
P36012	Q03702
P40467	P22149
P41058	P53043
Q04344	P36532
P38920	P23644
P39521	P53297
Q12104	P39111
P47113	P36023
P36054	P53748
P38116	Q9ZZX0
P42839	P53549
P17122	P42945
P00635	P53975
P40151	P38079
P53632	P53319
P53540	Q6Q547
Q3E790	P53822
Q07541	P47043
P39704	P34078
P36018	Q02792
P33420	Q04773
Q12481	P12954
Q03419	P32945
P41810	Q01389
P24279	Q03049
Q08750	P38934
Q00723	Q03503
P33204	P34167
P53962	P32332
Q06389	Q06137
P47006	P38273
P17967	P40433
P39952	P32917
Q08685	O13512
P33297	P32604
P47122	P06783
P04650	P32347
P53868	Q00539
P25580	P02381
Q3E7B6	P16467
P32563	P04786
P49687	Q02979
P47167	P38789
P42847	P53507
P39551	Q04049
Q04835	P38690
P33313	P53846
P47058	P46989
Q08226	P32325
P38695	P47054
P53293	P36051
P39009	P39924
Q01519	P14120
P38811	P40104
P38164	P40302
P53930	P22203
P20133	P25694
P30619	P40151
P38261	P22007
Q12471	P07702
P38890	Q07684
P19657	P51996
P33202	P47002
P40501	P32855
P32837	Q03776
P32386	P27476
P22141	Q12145
P47182	P27636
Q03824	Q12690
Q05637	P35718
P38180	P34230
P33411	Q00955
P38763	Q05533
P40073	P45976
P53859	P07390
P39713	P25299
P47018	Q12520
P18852	P25383
Q04949	Q03161
P0CY07	P40568
Q12251	Q06390
P53036	P32904
P0C5N3	Q08581
P36421	P05747
P53040	P02992
P36104	Q12034
P53008	P53379
P53303	P53628
Q2V2P1	P47167
P53318	Q03835
P38991	P24521
Q12311	P38604
P53063	P08466
Q03153	P23394
P28004	Q12028
P32476	P07884
Q06098	P53615
P40506	P22138
P33314	Q08692
P17065	Q06479
P32769	P33315
Q03373	P25366
O13527	Q03771
Q06675	P32469
Q3E7C1	P36064
Q3E7Y3	Q12523
Q02203	Q02196
Q08491	P48606
P43550	P36108
P47161	Q06349
P40571	P38345
P32837	Q04048
P29461	P41819
P32629	P33754
P80667	P22138
P38336	P06844
Q08417	P33401
P43123	P29478
P25693	P50076
