Q3E7Y3	P40513
P38987	P38822
P41806	P32432
P39523	Q03016
P06169	Q04341
P38853	P17122
Q05905	Q05021
P50942	P14907
P38325	P42900
Q03390	P09436
P38636	P47089
P53919	P38911
P47104	P49956
Q05809	P39717
Q12027	P32613
P07347	P80428
P47093	Q04712
P14907	P53045
P14908	P39718
Q12743	P08524
P00410	P05030
P13099	P32419
P38688	Q06224
Q12045	Q06505
P23201	Q06709
P14682	P08067
Q04307	P36056
P38956	Q3E840
P32585	P53911
P36533	P04039
P06243	P32606
P38748	P38825
P21954	Q04183
P29295	Q12420
P36056	P22138
Q08232	P53115
Q06188	P47048
Q08553	Q12421
P40361	P06105
P40858	P38633
Q12000	P25656
P53297	Q04007
O13525	P10622
P09119	P81450
P39958	P40548
P07286	P47050
P38634	P34909
P53853	P38273
Q12318	P50085
P25385	P53305
Q08818	P25348
P53845	P38883
Q03195	P38426
P52891	P07252
P32803	P22138
P32337	P39079
P40204	P14064
P32493	P53949
P12904	Q04228
P39743	P40202
Q12517	P39985
Q06096	P16451
P39012	P25638
P48564	P50946
P38042	P48837
P53861	P39735
P12962	P38931
P53327	P52910
P53851	P11433
P38990	Q08278
P38853	Q02931
Q04781	P50276
Q08273	Q07084
P32660	P38236
P25847	P19812
Q08581	P53313
P18480	Q08886
P06242	P53193
Q08226	P04786
P39522	Q12216
P34072	Q12446
Q04067	P53941
P02400	Q03063
Q3E846	P17442
P31383	P39929
Q08723	P28320
P40496	P32581
P53064	P40970
Q04401	Q03213
P36017	P41813
P40568	P13517
P03879	P33775
P25651	P38912
P07806	P25582
Q07442	P35180
P32525	P20433
Q12255	P41318
P53082	P38991
P38956	Q06819
P08525	P40026
Q12432	P38829
P52891	P35817
Q08235	P14693
P53323	Q12143
P53278	Q04868
Q12451	Q08412
P35727	P40462
P38883	P12611
Q03465	P08456
P53080	P52593
P53725	Q00764
Q06205	P34244
P05986	P53883
P43561	P35732
P39685	Q03707
P38341	Q12045
Q06488	P38011
P38742	Q12280
P53843	Q06132
P32457	P32914
P25566	Q00723
P53267	P40217
P38871	Q03532
Q08550	P33322
P32364	P25336
Q12074	P00549
P22803	P49089
Q12343	P39729
P47976	P52891
Q12318	Q07549
P08678	Q08231
P25453	P40212
P40517	P87275
P02400	P47112
Q05791	Q04401
Q12123	P36024
Q12469	P26784
P25567	Q02205
P38687	P22139
Q01855	P53881
Q12462	Q04307
Q00246	P53732
P53032	P36531
P29478	P09032
P25605	P40562
P06787	P53323
P25649	P06784
P09201	P38714
P07834	Q12495
Q12099	Q06245
P00931	P05737
P38219	P53094
P00175	P38810
Q07532	P38203
P18239	P53845
P39718	P25045
P49687	P07273
P32629	P53202
Q08962	P41806
P53246	P31787
P0CX44	P46680
P06182	P32493
Q06672	P38996
P00431	Q12349
P38962	P53318
P38212	P10869
P38325	P47122
Q12176	Q04693
P53082	P38682
P08067	P38856
P38902	P00427
Q01477	P38771
P32828	P41821
P42838	Q05946
P17442	Q12745
P22213	P53104
P39937	P53248
Q03497	P33329
P50086	P07806
P32799	P53318
P46655	P29340
P32525	P22804
P32783	Q04651
P32895	P20484
P53197	P15646
P32613	P48526
P14747	P40482
P38316	Q12277
P34758	P38771
Q12745	P53933
Q05636	P00560
Q03201	P20435
P16451	Q05635
Q06709	P35180
P25293	Q12508
P53197	P07261
P19736	P40456
P27515	P52917
Q05040	P32617
P11491	Q04511
O75012	P05626
Q05580	P53254
Q04693	P38770
P53983	Q08562
P23724	P0CY11
P12754	P25301
P25342	P38805
P38810	P39007
Q12092	Q05933
P18852	P47165
P89102	P38912
Q00381	P32776
O14468	Q03829
Q06071	P06701
P49955	Q02774
P38348	P00942
P38630	P38633
Q12734	P14291
Q3E835	P53137
P40495	P14540
P08566	P40202
P32939	Q08457
P38162	P32480
P32601	P40957
P05739	P47117
Q03161	Q04370
P50101	P00572
Q01476	P36224
P53212	P16664
P53900	Q12242
P38146	Q07821
Q00402	P07248
P32833	P05743
P25382	Q07914
P43621	Q03661
P53311	Q08230
