P48563	P25348
P40204	Q06090
P53112	P18494
Q04110	P39928
P04801	P20133
P38199	P32776
P38720	Q12449
P40020	P80428
Q12030	P53080
P41819	P15424
P40965	Q03768
P32912	P38746
P32897	P47077
Q07878	P35210
P15790	P49960
P39938	P19145
P04051	Q03071
Q00416	P25651
P40512	P40487
P25389	P52920
P02294	P36130
P25637	P87108
Q03981	P39523
P43602	P89114
P38265	P17890
Q04868	Q08465
P25558	Q12114
Q07381	P33302
P23642	P08018
Q03361	Q99383
Q08550	P38818
P06104	P07269
Q04868	P07236
P46948	P39730
P41544	Q12421
Q12229	Q04461
P39952	P39927
P38207	P53741
P40187	Q06706
P38351	P48560
P39715	P39682
Q06679	P43612
Q12117	P49957
Q12154	P36159
Q08245	P53875
P46964	P32794
P41896	P19812
P60010	Q05580
P0C2H7	P38153
P36519	P12904
P47123	Q07468
P0CS90	P46683
P40045	P38818
P23369	P01120
P43594	Q08204
P32445	Q04472
P40468	P53981
Q99220	P14064
Q08109	Q08956
Q07978	P12385
P27476	P14284
P39995	Q12380
P07806	P33201
P47079	Q12460
Q08873	P38222
P18409	Q07541
P22336	P32641
P34111	P40077
P53280	P38276
P46954	P40505
P41813	P48527
P53286	Q12142
Q08179	P32604
P00729	P53927
P38810	P38883
P53246	P50094
Q02792	P48510
Q99186	Q06506
Q3E840	Q06677
Q04359	P41546
P38272	P50111
P04385	P53736
P43561	P36009
P33754	P25343
P40578	P19262
P25294	P32499
P12385	P15891
Q12009	P10869
P22133	Q12118
P53187	P25302
P50945	P12866
Q12748	Q12368
Q07458	P39720
O14468	P39516
P53309	Q05785
P12686	P33334
P40208	P38794
P32641	P37299
P21771	P38736
P46989	Q12377
Q00776	Q03503
P38863	P13712
Q02721	Q02608
P39678	P46949
P41544	Q04636
P15442	Q12122
Q02336	Q12348
P53091	P39968
O13539	Q6WNK7
P53981	P35197
P38766	Q03973
Q12229	P40559
Q3E705	Q06406
P40457	P53062
P38758	P36096
P32790	Q02199
P54838	Q12368
P05085	Q02685
Q05543	P53335
P53145	P39965
P53145	P36115
P52917	P36006
Q06820	Q06504
P0CX44	P54784
P49723	Q02486
P39103	P39523
P13517	P32485
P15274	P38798
P38266	Q06103
P53184	Q01919
P53326	P32457
P32610	P32334
P35187	P40484
P40155	P38853
P01149	P38222
P25626	P69851
P26449	P39730
P19097	P32496
Q03327	P32799
P43593	P33891
P40339	P39685
P20081	P40070
Q12080	P06704
P35718	P53244
P32464	Q06819
P50945	P53239
Q12245	Q03707
P32915	P53327
P34252	P40991
P38337	P35203
P11747	P40091
P52488	P39104
P39001	P38111
O13525	P11325
P32860	P22141
Q08278	Q07844
P34160	Q06137
P32378	Q05791
Q04599	P57744
Q04226	Q06340
P53845	P25039
P39108	P33411
P38264	P28743
Q07418	Q12452
P53191	P38302
P53974	P40547
Q12019	P39935
P25604	P39515
P34730	P53921
P04039	P39517
P40969	P53326
Q04080	P40449
P53734	P50087
P32580	P38065
P39985	P47057
P36049	Q12389
P32367	P23287
P23641	P14180
P53718	P13185
P39705	Q12453
P34164	Q99278
P49957	P53278
P38772	P28834
P30822	P37291
Q12117	P53083
P49704	P40157
P32786	P40359
Q06162	P27999
P47077	P39938
Q12208	Q12000
Q12743	P20107
P38624	Q02775
Q04225	P53741
P25566	Q12267
P0CS90	P20676
P31380	P35177
Q12072	P22354
Q12223	Q08921
Q12161	Q05029
P48837	P22204
P32453	P25298
Q04921	P40958
P42841	P36152
P29469	Q99260
Q06337	P47005
P18496	P40955
Q12129	P53202
P19263	P38911
P05744	Q03656
P48363	P38348
P54861	P09938
Q99359	P48566
Q04500	P38328
P53924	Q6Q546
P07257	P32471
P36054	P41940
Q03195	P22219
P25604	Q12453
P38827	Q03532
P02406	P43682
P36531	P16522
P25847	Q06208
P14127	Q07800
Q12125	P0C0V8
P14359	P17442
P21306	P20457
P46683	Q03433
Q03018	Q06096
P53974	Q08601
P40021	Q03201
Q04697	P40094
P53863	Q00723
P32486	Q12455
P37267	Q06211
Q08179	Q08961
Q04921	Q03718
P38862	Q04599
Q03020	Q06106
Q3E705	Q06616
P39936	Q06251
P39720	P40993
P40546	Q02256
P23638	P38985
P32800	Q08204
P40541	P38264
P36040	P25301
P09436	P53941
P36102	P38426
P53937	P40160
Q01926	Q04110
P0CX30	Q06708
P07264	Q08208
P40547	P00958
P69851	P16387
Q08492	Q03829
P47120	P10962
P46948	P21734
P21524	P46951
Q12461	P41697
P22543	P40016
Q02771	Q12455
Q05930	P07286
P69852	P38341
P33448	P38803
P53617	P06243
P38254	P48412
P35688	P50090
P31373	P53067
P21951	P53893
P38910	P43612
Q02521	Q03406
P53267	Q04149
P38636	Q08906
Q99247	P38701
P46970	P26798
P15274	P53037
P31111	P25299
P22353	P54860
P53335	P53189
Q06580	P41895
Q06449	P38249
P25045	P38328
P53736	P47057
P36152	Q06625
P42843	P41806
P24870	P25635
Q08457	Q03661
P32897	P40992
P53978	Q12434
Q07951	P40340
Q07532	Q05946
P38633	P39524
Q03435	P32345
P28834	P38273
P38825	P32333
Q03213	P43602
Q12347	P34077
Q08457	P24583
P36132	P08425
P07250	P40098
Q06211	P53900
P32361	P53083
P39937	P07276
P32349	Q06689
Q00723	P19880
Q12206	P38823
P23293	P09959
P08425	Q06648
Q12481	P25632
P53733	Q03071
P43594	P42935
Q02732	Q03660
Q12499	Q07821
P38751	P29029
P32912	P40069
P53079	P19735
P52286	P53736
Q06707	P38632
Q08231	P38811
P38877	P38336
Q06340	Q99222
P40480	Q04264
P33330	P25635
P15624	P38632
Q05029	P39731
P38708	Q06604
Q04225	P38349
P38782	P27809
P46679	P32618
Q12117	P07213
P39980	P38324
P46985	Q03125
P53305	P25300
P28241	P38042
P53094	P19956
P53718	P21825
P32468	P14120
P12687	Q99382
Q03981	P38884
P54786	P38257
P20457	P38624
Q08438	P53168
P52286	Q08179
P25847	P38783
P40562	Q12416
Q03153	P53039
P69852	P47041
P39722	Q07807
P53974	P53769
O14468	P36520
Q12154	Q05933
P40851	Q05905
P38426	P40090
P15274	P39990
P07143	P38928
P12687	Q05949
P40075	P38238
P08067	P38063
Q12199	P38042
Q08484	P53135
P53942	Q02794
P46947	P05744
P38204	P21374
P23293	P12689
P38700	P39965
P36036	Q06580
P53131	Q04338
Q02889	P53094
P38333	Q05809
P53538	P38212
Q12532	P48526
P06700	P28743
Q06525	P38927
P47029	P40458
Q02256	P14922
P24870	P40316
Q05670	Q12387
P40975	Q12122
P07834	P32259
Q06631	P12709
P49167	P54838
P38987	P18412
P38228	P19414
Q12084	P47123
Q02884	P53114
Q05610	P38828
P32657	P54005
P50623	P38352
P52868	Q03465
P47047	P05694
P36144	P25386
P09457	P20449
Q6WNK7	Q00246
P21339	P53538
Q12050	P40561
P38872	P36146
P53604	P00360
Q07458	P38162
P36533	P32797
P00958	P38960
P38228	P32501
P32610	Q03981
P38806	Q03834
Q06236	P32611
P48559	P38254
P20486	P22438
P12688	P53254
Q05541	Q00873
Q06168	P32569
P53320	Q12420
P23585	P25579
Q04930	P40492
P0C0V8	P29539
Q02774	P53140
Q12049	P05694
P53261	P47170
P40056	Q06385
P48566	P32628
P29366	P35193
P38130	P25582
Q03323	P53853
Q03898	P40077
P07834	Q06639
Q06005	P40059
P40094	Q12242
P38282	P38872
P39009	P46676
P54885	P20447
P38630	Q12311
Q06668	P38995
P09064	Q03048
Q00245	P14180
Q12192	Q02821
P48560	P39936
Q06672	P32364
P25656	Q04477
P53261	P39078
Q04969	P38270
P41821	P25566
P22149	P40458
P05626	P06102
P41318	Q12220
P53201	P39744
P32334	P53236
P33755	P47045
P00427	P33298
Q12220	O14468
Q08387	P31386
Q02792	P32344
P21524	P53317
Q06188	P38334
P04385	P53874
P40554	P31376
Q05530	P25453
P14359	P33767
P23287	P01123
Q06449	Q12052
P53846	P50085
Q02260	P18480
P04385	P02829
Q08471	P27636
Q04003	Q08465
P38144	Q06245
Q12099	Q08176
P38987	P39079
P14747	P34162
P0C2H7	Q03125
P33333	Q04370
P07267	Q03898
Q08096	P53628
Q12471	P12385
P38426	Q01163
P22855	P40491
P53248	Q12315
Q12464	P39081
Q03063	P40513
Q07653	Q06159
P47049	P47113
Q05543	P36131
Q01649	P46964
P33760	P40065
P43568	P31386
P33204	P25558
P33203	P00899
P04801	P40505
P05737	P32527
P53224	Q3E7Y6
Q08491	P39925
Q02486	P53277
Q06333	P36523
Q04935	P49704
Q12157	P0CS90
P16649	Q3E7C1
P39742	P50090
Q03144	Q07821
P40064	P32581
P38326	P14291
P40010	P07866
P48510	P33750
P38352	P17119
Q04839	P09201
P38218	P50101
Q03213	P27344
Q06689	P32347
P48527	Q02647
P07259	P33755
P53271	P25646
P23833	P36108
P32364	P08432
P36122	P38873
Q03496	P38302
P07251	Q03018
P69851	Q04149
Q02950	P53187
P0CX28	P40965
P49334	P53163
P32839	P40480
P32793	P40016
P52917	P11076
P32502	P38792
P40094	Q00873
Q08229	P40992
Q06568	P38958
P53867	P39937
Q01159	Q03944
P25591	P53320
P25454	Q06709
P40358	Q08444
P39523	P32831
P40413	P53128
Q06679	P35817
P17629	P0CX42
P20795	Q02950
P38786	Q08109
P40993	P32660
P05748	Q06510
P32521	Q12308
Q04437	P24870
Q06411	P25367
P12686	P53236
P40084	Q04749
P38276	P17065
Q08229	P54837
P18480	P31383
Q08726	Q03921
P38783	P32855
